Site instance,Site name,Tree,Country,County,Other info,Grid reference,Map link,Longitude,Latitude,Elevation (ft),Station No.,Normal Month Values,-999 Month Values,Totals,Start Month,End Month,Active Years,% Complete,% Active Complete,Min Monthly Value,Min Month Date,Max Monthly Value,Max Month Date,Min Total,Min Total Year,Max Total,Max Total Year,Avg Total,10th pctile Total,50th pctile Total,90th pctile Total,Decades Graphic,Yearly Graphic,1800-1809,1810-1819,1820-1829,1830-1839,1840-1849,1850-1859,1860-1869,1870-1879,1880-1889,1890-1899,1900-1909,1910-1919,1920-1930,1931-1940,1941-1950,1951-1960,Sheet 1,Sheet 2,Sheet 3,Sheet 4
ABBOTSKERSWELL-THE-MANOR-HOUSE,ABBOTSKERSWELL-THE-MANOR-HOUSE,LEFTOVER,England,Devon,1 sheet : 1949-1950,-,,,,,[1718/8],22,0,1,1949/03,1950/12,2,100.0,91.7,0.74,1950/06,7.69,1950/02,41.46,1950,41.46,1950,41.5,41.5,41.5,41.5,[.|..........|....*.],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[........##],-,TYRain_1941-1950_13_pt1-115,-,-,-
ABBOTTS-BROMLEY-ST-ANNES,ABBOTTS-BROMLEY-ST-ANNES,LEFTOVER,England,Staffordshire,1 sheet,-,,,,,,14,0,1,1910/10,1911/12,2,93.3,58.3,0.42,1911/07,5.68,1910/11,18.86,1911,18.86,1911,18.9,18.9,18.9,18.9,[.|..........|.*....],[2#],-,-,-,-,-,-,-,-,-,-,-,[2#........],-,-,-,-,TYRain_1910-1919_15_pt1-057,-,-,-
ABERCARN-CWMCARN,ABERCARN-CWMCARN,LEFTOVER,Wales,Monmouthshire,2 sheets,-,,,,,,48,0,4,1917/01,1920/12,4,100.0,100.0,0.63,1917/04,13.71,1918/09,39.89,1917,64.15,1920,51.8,42.1,51.5,61.6,[.|..........|.**...],[####],-,-,-,-,-,-,-,-,-,-,-,[.......###],[#..........],-,-,-,TYRain_1910-1919_22_pt1-009,TYRain_1920-1930_25_pt1-202,-,-
ABERDARE,ABERDARE,LEFTOVER,Wales,Glamorgan,1 sheet : Totals book,SO 002026,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.713&lon=-3.446&layers=6&b=1&marker=51.713,-3.446",-3.446,51.713,,,0,0,1,1859/01,1859/12,1,0.0,0.0,,,,,62.23,1859,62.23,1859,62.2,62.2,62.2,62.2,[.|.....*....|......],[T],-,-,-,-,-,[.........T],-,-,-,-,-,-,-,-,-,-,TYRain_1850-1859_H_pt1-010,-,-,-
ABERDUNANT,ABERDUNANT,LEFTOVER,Wales,Caernarfonshire,1 sheet : observer EM Stiles : Location based on translation of 'Aber' as estruary of Dunant river.,SH 58384165,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.953&lon=-4.11&layers=6&b=1&marker=52.953,-4.11",-4.110,52.953,200,,12,0,0,1866/05,1867/04,2,100.0,50.0,1.76,1866/07,10.77,1866/09,,,,,,,,,[.|......*...|......],[84],-,-,-,-,-,-,[......84..],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_06_pt3-127,-,-,-
ABERFELDY-URLAR,ABERFELDY-URLAR,LEFTOVER,Scotland,Perthshire,1 sheet : observer J.A.MacDonald Esq. W.Bell Esq.,NN 8421646569,"https://maps.nls.uk/geo/explore/#zoom=16&lat=56.597&lon=-3.887&layers=6&b=1&marker=56.597,-3.887",-3.887,56.597,1000,,36,0,3,1911/01,1913/12,3,100.0,100.0,0.08,1913/07,8.97,1912/12,35.08,1911,47.43,1913,42.3,36.9,44.2,46.8,[.|..........|.*....],[###],-,-,-,-,-,-,-,-,-,-,-,[.###......],-,-,-,-,TYRain_1910-1919_27_pt1-217,-,-,-
ABERGELE-COUNTY-SCHOOL,ABERGELE-COUNTY-SCHOOL,LEFTOVER,Wales,Denbighshire,2 sheets : NGR is the County School. Altitudes match. Intermittent record,SH 949775,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.284&lon=-3.578&layers=10&b=1&marker=53.284,-3.578",-3.578,53.284,50,[4318/5],112,0,7,1936/10,1950/01,13,70.0,71.8,0.16,1938/04,5.48,1939/01,23.78,1941,32.17,1940,28.8,24.1,29.8,31.8,[.|..........|...**.],[3#####7..4##851],-,-,-,-,-,-,-,-,-,-,-,-,-,[.....3####],[#7..4##851],-,TYRain_1931-1940_22_pt1-310,TYRain_1941-1950_27_pt1-061,-,-
ABERGELE-KINMEL-PARK,ABERGELE-KINMEL-PARK,LEFTOVER,Wales,Denbighshire,2 sheets : NGR is near Minmel House at the stated altitude. Readings taken weekly without reference to the end of the month!,SH 981750,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.262&lon=-3.529&layers=6&b=1&marker=53.262,-3.529",-3.529,53.262,250,,86,0,7,1874/11,1881/12,8,100.0,89.6,0.56,1881/04,10.1,1879/08,28.88,1875,41.81,1877,35.2,30.4,35.3,39.6,[.|.......**.|......],[2#######],-,-,-,-,-,-,-,[....2#####],[##........],-,-,-,-,-,-,-,TYRain_1870-1879_10_pt2-067,TYRain_1880-1889_13_pt1-267,-,-
ABERLLEFENNI,ABERLLEFENNI,LEFTOVER,Wales,Merionethshire,1 sheet : NGR is from 1950s record and is close to Aberffefenni. Altitudes match.,SH 765090,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.665&lon=-3.828&layers=193&b=1&marker=52.665,-3.828",-3.828,52.665,314,[4346/4/1],24,0,2,1951/01,1952/12,2,100.0,100.0,2.1,1951/10,16.98,1951/12,73.18,1952,98.76,1951,86.0,75.7,86.0,96.2,[.|..........|.....*],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[##........],TYRain_1951-1960_24_pt1-230,-,-,-
ABERMAD-SCHOOL,ABERMAD-SCHOOL,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 601760,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.364&lon=-4.056&layers=193&b=1&marker=52.364,-4.056",-4.056,52.364,,[4125/4/3],22,0,1,1958/03,1959/12,2,100.0,91.7,0.56,1958/03,9.23,1958/09,38.98,1959,38.98,1959,39.0,39.0,39.0,39.0,[.|..........|.....*],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.......##.],TYRain_1951-1960_23_pt1-170,-,-,-
ABERSOCH-NANHORON,ABERSOCH-NANHORON,LEFTOVER,Wales,Caernarfonshire,1 sheet : observer CH Llodd Edwards,SH 2799631463,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.853&lon=-4.556&layers=6&b=1&marker=52.853,-4.556",-4.556,52.853,150,,48,0,4,1912/01,1915/12,4,100.0,100.0,0.5,1912/05,11.12,1915/12,38.33,1914,41.27,1915,39.9,38.4,40.0,41.3,[.|..........|.*....],[####],-,-,-,-,-,-,-,-,-,-,-,[..####....],-,-,-,-,TYRain_1910-1919_24_pt1-234,-,-,-
ABERYSTWYTH-PEN-Y-CWM,ABERYSTWYTH-PEN-Y-CWM,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 587818,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.416&lon=-4.079&layers=193&b=1&marker=52.416,-4.079",-4.079,52.416,,[4128/5],15,0,1,1953/10,1954/12,2,100.0,62.5,1.61,1953/12,11.14,1954/10,61.28,1954,61.28,1954,61.3,61.3,61.3,61.3,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-185,-,-,-
ABERYSTWYTH-PENGLAIS-HILL,ABERYSTWYTH-PENGLAIS-HILL,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 592821,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.419&lon=-4.072&layers=193&b=1&marker=52.419,-4.072",-4.072,52.419,,[4127/6],15,0,1,1953/10,1954/12,2,100.0,62.5,1.4,1954/04,8.75,1954/10,49.47,1954,49.47,1954,49.5,49.5,49.5,49.5,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-179,-,-,-
ABERYSTWYTH-TROED-RHIW-SEIRI-CARDIGAN,ABERYSTWYTH-TROED-RHIW-SEIRI-CARDIGAN,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 752853,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.451&lon=-3.838&layers=193&b=1&marker=52.451,-3.838",-3.838,52.451,,[4128/8],15,0,1,1953/10,1954/12,2,100.0,62.5,1.77,1953/12,11.63,1954/10,67.15,1954,67.15,1954,67.2,67.2,67.2,67.2,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-186,-,-,-
ABERYSTWYTH-UNIV-FARM-LOWER,ABERYSTWYTH-UNIV-FARM-LOWER,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 595818,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.416&lon=-4.067&layers=193&b=1&marker=52.416,-4.067",-4.067,52.416,,[4127/7],15,0,1,1953/10,1954/12,2,100.0,62.5,1.26,1954/04,8.91,1954/10,48.99,1954,48.99,1954,49.0,49.0,49.0,49.0,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-180,-,-,-
ABERYSTWYTH-UNIV-FARM-UPPER,ABERYSTWYTH-UNIV-FARM-UPPER,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 604826,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.424&lon=-4.054&layers=193&b=1&marker=52.424,-4.054",-4.054,52.424,,[4127/8],15,0,1,1953/10,1954/12,2,100.0,62.5,1.06,1954/04,8.23,1954/10,45.69,1954,45.69,1954,45.7,45.7,45.7,45.7,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-181,-,-,-
ABERYSTWYTH-UNIVERSITY-COLLEGE,ABERYSTWYTH-UNIVERSITY-COLLEGE,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 580816,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.414&lon=-4.089&layers=6&b=1&marker=52.414,-4.089",-4.089,52.414,,,33,0,2,1870/01,1872/09,3,100.0,91.7,0.63,1871/05,5.61,1870/10,24.8,1870,28.94,1871,26.9,25.2,26.9,28.5,[.|.......*..|......],[##9],-,-,-,-,-,-,-,[##9.......],-,-,-,-,-,-,-,-,TYRain_1870-1879_10_pt1-087,-,-,-
ABERYSTWYTH-WAEN-HILL,ABERYSTWYTH-WAEN-HILL,LEFTOVER,Wales,Cardiganshire,"1 sheet : Difficult to locate this one,but based on the mines that the obs owned (Lisburne, Frongoch, Logau Las...) this seems the most likely candidate even though it falls short of the claimed elevation.",SN 752713,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.326&lon=-3.833&layers=6&b=1&marker=52.326,-3.833",-3.833,52.326,,,1,0,3,1876/01,1879/12,3,2.1,2.8,3.23,1876/01,3.23,1876/01,56.98,1876,100.75,1877,73.2,58.0,62.0,93.0,[.|.......*..|......],[1T.T],-,-,-,-,-,-,-,[......1T.T],-,-,-,-,-,-,-,-,TYRain_1870-1879_10_pt1-089,-,-,-
ABERYSTWYTH/1,ABERYSTWYTH,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 585816,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.414&lon=-4.082&layers=193&b=1&marker=52.414,-4.082",-4.082,52.414,,[4126/5],24,0,2,1953/01,1954/12,2,100.0,100.0,1.13,1953/12,8.71,1954/10,32.79,1953,47.47,1954,40.1,34.3,40.1,46.0,[.|..........|.....*],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..##......],TYRain_1951-1960_23_pt1-178,-,-,-
ABERYSTWYTH/2,ABERYSTWYTH,LEFTOVER,Wales,Cardiganshire,1 sheet,SN 612825,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.423&lon=-4.043&layers=193&b=1&marker=52.423,-4.043",-4.043,52.423,,[4128/1],15,0,1,1953/10,1954/12,2,100.0,62.5,1.38,1953/12,9.44,1954/10,52.38,1954,52.38,1954,52.4,52.4,52.4,52.4,[.|..........|.....*],[3#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..3#......],TYRain_1951-1960_23_pt1-183,-,-,-
ABINGDON-BATH-STREET,ABINGDON-BATH-STREET,LEFTOVER,England,Berkshire,1 sheet : NGR is from the 1950s record and is near Bath Street. Altitudes match,SU 495974,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.673&lon=-1.286&layers=193&b=1&marker=51.673,-1.286",-1.286,51.673,190,[827/3],9,0,0,1959/04,1959/12,1,100.0,75.0,0.15,1959/09,5.04,1959/12,,,,,,,,,[.|..........|.....*],[9],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[........9.],TYRain_1951-1960_04_pt1-239,-,-,-
ABINGDON-DRAYCOTT-MOOR,ABINGDON-DRAYCOTT-MOOR,LEFTOVER,England,Berkshire,"1 sheet : NGR is Breycott Farm on Draycott Moor. Stated altitude is 15 to 20 ft too high. Gauge moved in Dec 1902 to Buckland, 4 miles West",SU 399994,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.692&lon=-1.424&layers=6&b=1&marker=51.692,-1.424",-1.424,51.692,296,,34,0,2,1901/01,1903/10,3,100.0,94.4,0.42,1901/11,6.32,1903/06,19.82,1901,20.03,1902,19.9,19.8,19.9,20.0,[.|..........|*.....],[###],-,-,-,-,-,-,-,-,-,-,[.###......],-,-,-,-,-,TYRain_1900-1909_06_pt1-082,-,-,-
ABINGDON-DRAYTON,ABINGDON-DRAYTON,LEFTOVER,England,Berkshire,1 sheet : NGR is from the 1950s record and is in Drayton. Altitudes match,SU 477941,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.644&lon=-1.312&layers=193&b=1&marker=51.644,-1.312",-1.312,51.644,194,[823/8],24,0,2,1953/01,1954/12,2,100.0,100.0,0.29,1954/04,4.48,1954/11,19.61,1953,24.96,1954,22.3,20.1,22.3,24.4,[.|..........|.....*],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..##......],TYRain_1951-1960_04_pt1-234,-,-,-
ABINGDON-FITZHARRIS,ABINGDON-FITZHARRIS,LEFTOVER,England,Berkshire,2 sheets : NGR is Fitzharris House. Altitudes match.,SU 496974,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.673&lon=-1.284&layers=6&b=1&marker=51.673,-1.284",-1.284,51.673,185,,99,0,7,1913/07,1922/09,9,89.2,91.7,0.12,1921/07,5.1,1920/07,13.92,1921,29.2,1915,22.5,18.2,22.5,27.0,[.|..........|.**...],[6##.#####9],-,-,-,-,-,-,-,-,-,-,-,[...6##.###],[##9........],-,-,-,TYRain_1910-1919_06_pt1-107,TYRain_1920-1930_06_pt1-112,-,-
ABINGDON-KINGSTON-BAGPUIZE,ABINGDON-KINGSTON-BAGPUIZE,LEFTOVER,England,Berkshire,1 sheet,-,,,,,,36,0,3,1944/01,1946/12,3,100.0,100.0,0.14,1945/11,4.16,1946/11,19.34,1944,25.46,1946,21.7,19.5,20.2,24.4,[.|..........|....*.],[###],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[...###....],-,TYRain_1941-1950_06_pt1-090,-,-,-
ABINGDON-OAKLEY-WARREN,ABINGDON-OAKLEY-WARREN,LEFTOVER,England,Berkshire,1 sheet,-,,,,,,42,0,3,1910/01,1913/06,4,100.0,87.5,0.04,1912/04,5.21,1912/08,18.12,1911,31.08,1912,25.6,20.0,27.5,30.4,[.|..........|.*....],[###6],-,-,-,-,-,-,-,-,-,-,-,[###6......],-,-,-,-,TYRain_1910-1919_06_pt1-100,-,-,-
ABINGDON-RADLEY-COLLEGE-GARDENS,ABINGDON-RADLEY-COLLEGE-GARDENS,LEFTOVER,England,Berkshire,2 sheets,-,,,,,,36,0,3,1939/01,1941/12,3,100.0,100.0,0.0,1940/08,6.48,1940/11,24.4,1941,29.41,1939,26.4,24.6,25.4,28.6,[.|..........|...**.],[###],-,-,-,-,-,-,-,-,-,-,-,-,-,[........##],[#.........],-,TYRain_1931-1940_06_pt1-103,TYRain_1941-1950_06_pt1-092,-,-
ABINGDON-SUTTON-COURTNEY,ABINGDON-SUTTON-COURTNEY,LEFTOVER,England,Berkshire,1 sheet,-,,,,,,24,0,2,1892/01,1893/12,2,100.0,100.0,0.06,1893/04,3.5,1893/10,19.45,1893,20.37,1892,19.9,19.5,19.9,20.3,[.|.........*|......],[##],-,-,-,-,-,-,-,-,-,[..##......],-,-,-,-,-,-,TYRain_1890-1899_01_pt1-213,-,-,-
ABINGDON-VICARAGE,ABINGDON-VICARAGE,LEFTOVER,England,Berkshire,1 sheet,-,,,,,,27,0,1,1894/04,1896/06,3,100.0,75.0,0.11,1895/02,5.05,1894/11,23.15,1895,23.15,1895,23.1,23.1,23.1,23.1,[.|.........*|......],[9#6],-,-,-,-,-,-,-,-,-,[....9#6...],-,-,-,-,-,-,TYRain_1890-1899_01_pt1-218,-,-,-
ABINGER-HAMMER-WEST-HACKHURST,ABINGER-HAMMER-WEST-HACKHURST,LEFTOVER,England,Surrey,1 sheet,TQ 095477,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.218&lon=-0.433&layers=6&b=1&marker=51.218,-0.433",-0.433,51.218,,,36,0,4,1920/01,1923/12,4,75.0,75.0,0.12,1921/06,6.1,1923/10,15.46,1921,34.2,1923,27.8,19.6,30.7,33.6,[.|..........|..*...],[T###],-,-,-,-,-,-,-,-,-,-,-,-,[T###.......],-,-,-,TYRain_1920-1930_02_pt1-254,-,-,-
ABINGTON,ABINGTON,LEFTOVER,England,Cambridgeshire,1 sheet : observer Land Settlement Assn,TL 521475,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.105&lon=0.219&layers=193&b=1&marker=52.105,0.219",0.219,52.105,,[1192/2/5],4,0,0,1947/09,1947/12,1,100.0,33.3,0.17,1947/10,2.82,1947/12,,,,,,,,,[.|..........|....*.],[4],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[......4...],-,TYRain_1941-1950_09_pt1-079,-,-,-
ABINGTON-GILKERSCLEUCH,ABINGTON-GILKERSCLEUCH,LEFTOVER,Scotland,Lanarkshire,2 sheets : observer George Malcolm Location Mistranscribed : Location mis Transcribed,NS 9037822938,"https://maps.nls.uk/geo/explore/#zoom=16&lat=55.488&lon=-3.736&layers=10&b=1&marker=55.488,-3.736",-3.736,55.488,915,[5187/3],27,0,2,1940/01,1942/03,3,100.0,75.0,0.85,1941/01,6.21,1941/08,39.12,1941,45.87,1940,42.5,39.8,42.5,45.2,[.|..........|...**.],[##3],-,-,-,-,-,-,-,-,-,-,-,-,-,[.........#],[#3........],-,TYRain_1931-1940_24_pt1-183,TYRain_1941-1950_29_pt1-066,-,-
ABINGTON-GLENGONNAR,ABINGTON-GLENGONNAR,LEFTOVER,Scotland,Lanarkshire,1 sheet : observer Clyde River Purification Board : Midas runs from 1961 to 94/Midas station 990,NS 9328522999,"https://maps.nls.uk/geo/explore/#zoom=16&lat=55.489&lon=-3.69&layers=6&b=1&marker=55.489,-3.69",-3.690,55.489,812,[5187/35],0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1951-1960_26_pt1-163,-,-,-
ACCRINGTON-GAS-WKS,ACCRINGTON-GAS-WKS,LEFTOVER,England,Lancashire,1 sheet : 4 months data. No info,SD 757289,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.756&lon=-2.37&layers=6&b=1&marker=53.756,-2.37",-2.370,53.756,,,4,0,0,1878/02,1878/05,1,100.0,33.3,1.37,1878/02,4.59,1878/05,,,,,,,,,[.|.......*..|......],[4],-,-,-,-,-,-,-,[........4.],-,-,-,-,-,-,-,-,TYRain_1870-1879_07_pt4-108,-,-,-
ACHANALT-KNOCKBAN,ACHANALT-KNOCKBAN,LEFTOVER,Scotland,Ross and Cromarty,1 sheet : observer Sir Alex Gibb & Partners per M.G.Hogg N of S Hydro Electric Board (1946) : On Os named as Knockban,NH 2234361007,"https://maps.nls.uk/geo/explore/#zoom=16&lat=57.604&lon=-4.975&layers=193&b=1&marker=57.604,-4.975",-4.975,57.604,400,[5773/6],16,0,0,1945/07,1946/10,2,100.0,66.7,0.71,1946/10,8.2,1946/04,,,,,,,,,[.|..........|....*.],[6#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[....6#....],-,TYRain_1941-1950_32_pt1-134,-,-,-
ACHANALT-STATION,ACHANALT-STATION,LEFTOVER,Scotland,Ross and Cromarty,1 sheet,NH 2599761474,"https://maps.nls.uk/geo/explore/#zoom=16&lat=57.61&lon=-4.914&layers=6&b=1&marker=57.61,-4.914",-4.914,57.610,370,,36,0,3,1872/01,1877/12,3,50.0,100.0,1.22,1872/03,9.4,1877/02,48.36,1872,58.0,1877,53.8,49.7,55.0,57.4,[.|.......*..|......],[##...#],-,-,-,-,-,-,-,[..##...#..],-,-,-,-,-,-,-,-,TYRain_1870-1879_12_pt3-048,-,-,-
ACHILL-ISLAND-DUGORT,ACHILL-ISLAND-DUGORT,LEFTOVER,Ireland/Republic of Ireland,Mayo,1 sheet : observer JR Sheridan (Mrs) : Not researched,-,,,,50?,,9,0,0,1920/01,1921/01,2,69.2,37.5,3.93,1920/04,11.5,1921/01,,,,,,,,,[.|..........|..*...],[81],-,-,-,-,-,-,-,-,-,-,-,-,[81.........],-,-,-,TYRain_1920-1930_37_pt1-076,-,-,-
