Volume,Page,Sheet Type,Decade,Country,County,Subdivision,GitHub?,GitHub Location,Transcribed Location,Year count,Start Year,Summary,Readings,100s+999s,% Complete,First Reading,Last Reading,Totals count,Totals 100s+999s,Avg Total,CSV Issues,GitHub Tree,Has Station No. ?,Station No.,Station No. Sorter,Site Name,NGR,Latitude,Longitude,Elevation (ft),Stn no.,Observer,Comments
TYRain_1677-1886_B_pt1,106,Rainfall,17x0s,Scotland,Dunbartonshire,-,N,-,KIRKINTILLOCH,10,1780,[........T.],0,0,0.0,,,1,0,14.5,,-,,,,KIRKINTILLOCH,NS 6574,55.94,-4.16,,,From Total Book,Approx 1 Total only (Craddock Y240)
TYRain_1677-1886_B_pt1,134,Rainfall,17x0s,Ireland/Northern Ireland,Londonderry,-,N,-,LONDONDERRY,10,1790,[.....T.TTT],0,0,0.0,,,4,1,32.9,,-,,,,LONDONDERRY-VAGUE,,,,,,,1795-1799 totals only
TYRain_1677-1886_B_pt2,13,Rainfall,1800s,England,Devon,Devon South,N,-,EXETER,10,1800,[..#.......],12,0,10.0,1802/01,1802/12,1,0,24.8,,-,,,,EXETER-1802,,,,,,,
TYRain_1677-1886_B_pt2,38,Rainfall,1800s,England,Yorkshire West Riding,-,N,-,WILSDEN Nr BINGLEY,10,1800,[..........] ??,0,1,0.0,,,0,0,,Not empty,-,,,,WILSDEN-NR-BINGLEY,,,,,,,
TYRain_1677-1886_B_pt2,41,Rainfall,1800s,England,Cumberland,-,N,-,NEAR WIGTON CUMBERLAND,10,1800,[.......15.],6,1,5.0,1807/09,1808/10,0,0,,,-,,,,NEAR-WIGTON-CUMBERLAND,,,,,,,"no details but 5"" one day in Sept 1807"
TYRain_1677-1886_B_pt2,63,Rainfall,1800s,Ireland/Northern Ireland,Londonderry,-,N,-,LONDONDERRY,10,1800,[#.........],12,0,10.0,1800/01,1800/12,1,0,29.2,,-,,,,LONDONDERRY-VAGUE,,,,,,,no info. 1800 plus 1797-1799 total by hand below
TYRain_1677-1886_B_pt2,64,Rainfall,1800s,Ireland/Northern Ireland,Londonderry,-,N,-,LONDONDERRY,10,1800,[TT........],0,0,0.0,,,2,0,30.7,,-,,,,LONDONDERRY-VAGUE,,,,,,,no info. 1800-1801 tots. Not same as 1800 above record
TYRain_1677-1886_B_pt2,78,Rainfall,1800s,England,Yorkshire North Riding,-,N,-,MALTON UNKNOWN,10,1800,[........T.],0,0,0.0,,,1,1,43.8,,-,,,,NEW-MALTON-STOCKTON,SE 787717,54.135,-0.797,80,,Mr Stockton,
TYRain_1677-1886_B_pt2,85,Rainfall,1810s,England,Middlesex,Middlesex-became-London,N,-,LONDON PRINCES ST CAVENDISH SQUARE,10,1810,[....##....],23,0,19.2,1814/01,1815/12,0,0,,,-,,,,LONDON-PRINCES-ST-CAVENDISH-SQUARE,TQ 289812,51.515,-0.144,125,,,"NGR is midpoint of Princes Street. Altitude is 90 ft + 35ft (height of gauge on record, presumably roof level). Readings are not calendar months"
TYRain_1677-1886_B_pt2,104,Rainfall,1810s,England,Devon,Devon South,N,-,PLYMOUTH FOSSAR,10,1810,[.....#1...],13,0,10.8,1815/01,1816/07,1,0,34.1,,-,,,,PLYMOUTH-FOSSAR,,,,,,,
TYRain_1677-1886_B_pt2,108,Rainfall,1810s,England,Devon,Devon South,N,-,SIDMOUTH DEVON,10,1810,[...#......],11,0,9.2,1813/02,1813/12,0,0,,,-,,,,SIDMOUTH-1813,,,,,,,
TYRain_1677-1886_B_pt2,109,Rainfall,1810s,England,Cornwall,-,N,-,PENZANCE CONWALL,10,1810,[.........T],0,0,0.0,,,1,0,23.8,,-,,,,CORNWALL-PENZANCE,,,,,,,
TYRain_1677-1886_B_pt2,120,Rainfall,1810s,England,Derbyshire,-,N,-,ASHOVER NR CHESTERFIELD,10,1810,[..#.......],12,0,10.0,1812/01,1812/12,1,0,31.5,,-,,,,ASHOVER-NR-CHESTERFIELD,SK 348631,53.164,-1.481,600,,,NGR is church in Ashover and altitude is form OS map. No information on the record to better locate the record. NGR could be +/- 1km or more
TYRain_1677-1886_B_pt2,130,Rainfall,1810s,Scotland,Berwickshire,-,N,-,EYEMOUTH BERWICKSHIRE,10,1810,[..T#......],12,0,10.0,1813/01,1813/12,2,0,24.8,,-,,,,EYEMOUTH-BERWICKSHIRE,,,,,,,believed to be part of Gordon Castle register (Moray)
TYRain_1677-1886_B_pt2,159,Rainfall,1810s,Scotland,Orkney,-,N,-,ORKNEY,10,1810,[.T........],0,0,0.0,,,1,0,29.1,,-,,,,ORKNEY-1811,,,,,,,Probably SANDAY-START-POINT
TYRain_1820-1829_C_pt1,68,Rainfall,1820s,England,Yorkshire North Riding,-,N,-,NEW MALTON,10,1820,[T#.23.....],17,0,14.2,1821/01,1824/11,3,0,33.5,,-,,,,NEW-MALTON-STOCKTON,SE 787717,54.135,-0.797,80,,Mr Stockton,
TYRain_1820-1829_C_pt2,37,Rainfall,1820s,Ireland/Republic of Ireland,Dublin,-,N,-,Malahide,10,1820,[...##.....],24,0,20.0,1823/01,1824/12,2,0,43.6,,-,,,,MALAHIDE,,,,,,A Semple,Not researched
TYRain_1820-1829_C_pt2,44,Rainfall,1830s,England,Yorkshire West Riding,-,N,-,SHEFFIELD,10,1830,[........5.],5,0,4.2,1838/06,1838/10,0,0,,,-,,,,SHEFFIELD-1830S,,,,,,,
TYRain_1820-1829_C_pt2,50,Rainfall,1830s,England,Yorkshire East Riding,-,N,-,ROOS,10,1830,[....T.....],0,0,0.0,,,1,0,18.0,,-,,,,ROOS,TA 290298,53.749,-0.045,,,,
TYRain_1820-1829_C_pt2,58,Rainfall,1830s,England,Yorkshire West Riding,-,N,-,BOLTON BY BOLLAND,10,1830,[....T.....],0,0,0.0,,,1,0,47.4,,-,,,,BOLTON-BY-BOWLAND,,,,,,,Only one annual total so not worth adding NGR for Village and no clues as to where the location is
TYRain_1820-1829_C_pt2,71,Rainfall,1830s,England,Lincolnshire,-,N,-,BRANDSBY LINCOLNSHIRE,10,1830,[....T.....],0,0,0.0,,,1,0,22.6,,-,,,,BRANSBY,SK 899792,53.302,-0.652,25,,,
TYRain_1820-1829_C_pt2,74,Rainfall,1830s,England,Yorkshire West Riding,-,N,-,HIGH FLATS YORKS,10,1830,[.........#],12,0,10.0,1839/01,1839/12,1,0,40.3,,-,,,,HIGH-FLATS-YORKS,SE 212074,53.563,-1.681,900,,,NGR is the centre if High Flats and altitude is from OS map. No information on record to locate record and NGR could be +/- 500m or more and altitude +/- 200 ft
TYRain_1820-1829_C_pt2,103,Rainfall,1830s,England,Cheshire,-,N,-,WOODSIDE BIRKENHEAD,10,1830,[........#.],12,0,10.0,1838/01,1838/12,1,0,29.2,,-,,,,WOODSIDE-BIRKENHEAD,SJ 328891,53.394,-3.012,30,,,NGR is in the Woodside area of Birkenhead. Altitude form OS map. NGR could be +/- 500m.
TYRain_1820-1829_C_pt2,114,Rainfall,1830s,England,Cornwall,-,N,-,EDGECUMBE,10,1830,[..T.......],0,0,0.0,,,1,0,29.7,,-,,,,EDGECUMBE,,,,,,,
TYRain_1820-1829_C_pt2,116,Rainfall,1830s,England,Somerset,-,N,-,WELLINGTON SOMERSET,10,1830,[..##......],24,0,20.0,1832/01,1833/12,2,0,34.9,,-,,,,WELLINGTON-SOMERSET,,,,,,,
TYRain_1820-1829_C_pt2,126,Rainfall,1830s,England,Worcestershire,-,N,-,WORCESTER,10,1830,[.......T..],0,0,0.0,,,1,0,24.5,,-,,,,WORCESTER,,,,,,,no useful info and only 1 year total anyway
TYRain_1820-1829_C_pt2,161,Rainfall,1830s,England,Middlesex,Middlesex-became-London,N,-,HATTON GARDEN HOLBORN,10,1830,[........3.],3,0,2.5,1838/03,1838/05,0,0,,,-,,,,HATTON-GARDEN-HOLBORN,TQ 313818,51.520,-0.109,60,,,NGR is mid-pint of Hatton Garden. Altitude from OS map. NGR could be +/- 250m N or S
TYRain_1820-1829_C_pt2,169,Rainfall,1830s,England,Kent,Kent-stayed-Kent,N,-,WICKHAM,10,1830,[.......#..],12,0,10.0,1837/01,1837/12,1,0,24.9,,-,,,,WICKHAM,TQ 388646,51.364,-0.008,,,Hinds,
TYRain_1820-1829_C_pt2,184,Rainfall,1830s,England,Buckinghamshire,-,N,-,AYLESBURY,10,1830,[........#4],16,1,13.3,1838/01,1839/05,1,0,19.6,,-,,,,AYLESBURY-1838,SP 819138,51.817,-0.813,,,Aylesbury News,
TYRain_1830-1839_D_pt1,30,Rainfall,1830s,Scotland,Ayrshire,-,N,-,GALSTON MUIR,10,1830,[..8#......],20,0,16.7,1832/01,1833/12,2,0,50.6,,-,,,,GALSTON-MUIR,,,,,,,NO INFO
TYRain_1830-1839_D_pt1,41,Rainfall,1830s,Scotland,Dunbartonshire,-,N,-,Kippoch,10,1830,[..T.......],0,0,0.0,,,1,0,39.2,,-,,,,KEPPOCH,NS 3296479780,55.982,-4.679,150,,From Total Book,Location is south of Helensburgh and once was a castle (Craddock Y528)
TYRain_1830-1839_D_pt1,46,Rainfall,1830s,Scotland,Bute,-,N,-,LAMLASH ARRAN,10,1830,[..TTT.....],0,0,0.0,,,3,0,66.0,,-,,,,LAMLASH-ARRAN,NS 024308,55.531,-5.132,15,,from The Statistical Accounts of Scotland 1791-1845,https://stataccscot.edina.ac.uk/static/statacc/dist/viewer/nsa-vol5-Parish_record_for_Kilbride_in_the_county_of_Bute_in_volume_5_of_account_2/nsa-vol5-p1-parish-bute-kilbride?search=lamlash
TYRain_1830-1839_D_pt1,109,Rainfall,1830s,Ireland/Republic of Ireland,Galway,-,N,-,PROSPECT BY GALWAY,10,1830,[........4.],4,0,3.3,1838/07,1838/12,0,0,,,-,,,,PROSPECT-BY-GALWAY,,,,,,Lieut. Morrison R.N.,53.14N 9 degrees W
TYRain_1840-1849_D_pt2,1,Rainfall,1840s,England,Berkshire,-,N,-,HERMITAGE,10,1840,[.........#],12,0,10.0,1849/01,1849/12,1,0,24.2,,-,,,,HERMITAGE,SU 507729,51.453,-1.272,,,,"This is Hermitage near Newbury, based on a match to readings in The Reading Mercury, which gives Rev. Walter Sheppard as the observer. Hermitage Vicarage used for the grid reference."
TYRain_1840-1849_D_pt2,8,Rainfall,1840s,England,Surrey,Surrey-became-London,N,-,LONDON (S. LAMBETH),10,1840,[.#........],12,0,10.0,1841/01,1841/12,1,0,27.2,,-,,,,LONDON-S-LAMBETH-OBS-ARMSTRONG,,,,,,,
TYRain_1840-1849_D_pt2,9,Rainfall,1840s,England,Surrey,Surrey-became-London,N,-,LONDON S. LAMBETH,10,1840,[...#8.....] Dup,20,0,16.7,1843/01,1844/12,2,0,24.6,Duplication,-,,,,LONDON-S-LAMBETH-OBS-MAVERLEY,,,,,,,
TYRain_1840-1849_D_pt2,10,Rainfall,1840s,England,Surrey,Surrey-became-London,N,-,LONDON (WALWORTH),10,1840,[.#2##9....],46,0,38.3,1841/01,1845/11,3,0,26.3,,-,,,,LONDON-WALWORTH,,,,,,,
TYRain_1840-1849_D_pt2,28,Rainfall,1840s,England,Kent,Kent-stayed-Kent,N,-,CANTERBURY BARTON HOUSE,10,1840,[1#........],13,0,10.8,1840/11,1841/12,1,0,38.0,,-,,,,CANTERBURY-BARTON-HOUSE,TR 156588,51.288,1.091,,,,
TYRain_1840-1849_D_pt2,54,Rainfall,1840s,England,Isle of Wight,-,N,-,CARISBROOK,10,1840,[.......33.],6,0,5.0,1847/01,1848/03,0,0,,,-,,,,CARISBROOK,,,,,,,
TYRain_1840-1849_D_pt2,63,Rainfall,1840s,England,Hampshire,-,N,-,WINCHESTER,10,1840,[......T...],0,0,0.0,,,1,0,33.7,,-,,,,WINCHESTER,,,,,,,
TYRain_1840-1849_D_pt2,64,Rainfall,1840s,England,Hampshire,-,N,-,BONHAMS NR ALTON,10,1840,[..#.......],12,0,10.0,1842/01,1842/12,1,0,21.7,,-,,,,BONHAMS-NR-ALTON,,,,,,,
TYRain_1840-1849_D_pt2,69,Rainfall,1840s,England,Berkshire,-,N,-,KINGSTON BAGPUIZE,10,1840,[.....#....],12,0,10.0,1845/01,1845/12,1,0,20.7,,-,,,,KINGSTON-BAGPUIZE,SU 407981,51.680,-1.413,270,,,NGR is the church in Kingston Bagpuize and there is no information on the record to better located the gauge. Altitude form OS map. NGR could be +/- 500m and may be Kingston Bagpuize House 250 M S
TYRain_1840-1849_D_pt2,127,Rainfall,1840s,England,Devon,Devon South,N,-,BRADSTONE DEVON,10,1840,[#.#.......],24,0,20.0,1840/01,1842/12,2,0,34.1,,-,,,,BRADSTONE-DEVON,,,,,,,
TYRain_1840-1849_D_pt2,137,Rainfall,1840s,England,Devon,Devon South,N,-,SIDMOUTH (not much data),10,1840,[...4......],4,0,3.3,1843/06,1843/11,0,0,,,-,,,,SIDMOUTH-1843,,,,,,,
TYRain_1840-1849_D_pt2,142,Rainfall,1840s,England,Cornwall,-,N,-,STRATTON CORNWALL,10,1840,[.....T....],0,0,0.0,,,1,0,40.9,,-,,,,STRATTON,,,,,,,
TYRain_1840-1849_D_pt2,155,Rainfall,1840s,England,Somerset,-,N,-,BATH LARKHALL,10,1840,[.1#71.....],21,0,17.5,1841/12,1844/01,2,0,29.3,,-,,,,BATH-LARKHALL,,,,,,,
TYRain_1840-1849_D_pt2,173,Rainfall,1840s,England,Shropshire,-,N,-,OSWESTRY,10,1840,[..#9......],19,1,15.8,1842/01,1843/12,1,0,32.7,,-,,,,OSWESTRY,,,,,,,No information on sheet to determine location
TYRain_1840-1849_D_pt2,177,Rainfall,1840s,England,Worcestershire,-,N,-,SEVERN STOKE WORCESTERSHIRE,10,1840,[.........#],12,0,10.0,1849/01,1849/12,1,0,24.9,,-,,,,SEVERN-STOKE,,,,,,,no useful info for the one year
TYRain_1840-1849_E_pt1,12,Rainfall,1840s,England,Derbyshire,-,N,-,WINSTER DERBY,10,1840,[.....3....],3,0,2.5,1845/09,1845/11,0,0,,,-,,,,WINSTER-DERBY,,,,,,,
TYRain_1840-1849_E_pt1,21,Rainfall,1840s,England,Cheshire,-,N,-,Sandy Vale Print Works Duckenfield nr Staley Bridge,10,1840,[....#.....],12,0,10.0,1844/01,1844/12,1,0,32.3,,-,,,,SANDY-VALE-PRINT-WORKS-DUCKENFIELD-NR-STALEY-BRIDGE,SJ 951980,53.479,-2.075,320,,,NGR is the printworks. Stated altitude appears to ne 15 ft. too low.
TYRain_1840-1849_E_pt1,23,Rainfall,1840s,England,Cheshire,-,N,-,Bower Flats (in Longdendale District?),10,1840,[.....8....],8,0,6.7,1845/02,1845/09,0,0,,,-,,,,BOWER-FLATS-IN-LONGDENDALE-DISTRICT,,,,,,,
TYRain_1840-1849_E_pt1,25,Rainfall,1840s,England,Cheshire,-,N,-,RAKES MOSS,10,1840,[......2#8.],22,0,18.3,1846/11,1848/12,1,0,56.5,,-,,,,RAKES-MOSS,SE 054006,53.502,-1.920,1620,,,NGR is on Rakes Moss at the stated altitude
TYRain_1840-1849_E_pt1,37,Rainfall,1840s,England,Lancashire,-,N,-,FAIRFIELD 4 MILES EAST OF MANCHESTER,10,1840,[#.........] Dup,12,0,10.0,1840/01,1840/12,1,0,26.1,Duplication,-,,,,MANCHESTER-FAIRFIELD-DUPLICATE-DATA,,,,,,,DUPLICATE OF DATA ON PAGE 38 SO CAN IGNORE THE FACT THAT THIS ISN'T ON GITHUB
TYRain_1840-1849_E_pt1,58,Rainfall,1840s,England,Lancashire,-,N,-,BELMONT (OLD LYONS),10,1840,[....5.....],5,0,4.2,1844/04,1844/08,0,0,,,-,,,,BELMONT-OLD-LYONS,SD 675189,53.666,-2.493,1200,,,1200' patchy 1844 only 3 miles N of Belmont WW gauge. Old Lyons Colliery
TYRain_1840-1849_E_pt1,70,Rainfall,1840s,England,Lancashire,-,N,-,CARTMEL (NOT MUCH DATA),10,1840,[..T1TTT...],1,0,0.8,1843/06,1843/06,5,0,49.4,,-,,,,CARTMEL,,,,,,,no info at all
TYRain_1840-1849_E_pt1,76,Rainfall,1840s,England,Yorkshire West Riding,-,N,-,FALKIRK,10,1840,[.4........],4,1,3.3,1841/02,1841/10,0,0,,,-,,,,FALKIRK,,,,,,,
TYRain_1840-1849_E_pt1,94,Rainfall,1840s,England,Yorkshire West Riding,-,N,-,LEEDS UNKNOWN,10,1840,[.T.T.TT...],0,0,0.0,,,4,0,26.1,,-,,,,LEEDS,,,,,,,"Observer pencilled is as ""S Marshall Kendal"". Cannot find him or Kendal. No altitude on record"
TYRain_1840-1849_E_pt1,103,Rainfall,1840s,England,Yorkshire West Riding,-,N,-,OTLEY,10,1840,[..21......],3,0,2.5,1842/11,1843/01,0,0,,,-,,,,OTLEY,,,,,,,
TYRain_1840-1849_E_pt1,114,Rainfall,1840s,England,Durham,-,N,-,DARLINGTON UNKNOWN,10,1840,[.........5],5,0,4.2,1849/04,1849/08,0,0,,,-,,,,DARLINGTON-UNKNOWN,NZ 291143,54.523,-1.552,,,,"May-Sept 1849 W Rayner in report to board of health - prob UnionWorkhouse in Lead Yard, Mem Hos much later"
TYRain_1840-1849_E_pt1,138,Rainfall,1840s,England,Cumberland,-,N,-,STRONGWATH 2m W of Ennerdale,10,1840,[....6.....],6,0,5.0,1844/07,1844/12,0,0,,,-,,,,STRONGWATH,,,,,,,Aug-Dec 1844
TYRain_1840-1849_E_pt1,142,Rainfall,1840s,England,Cumberland,-,N,-,WHITEHAVEN,10,1840,[........#.],12,0,10.0,1848/01,1848/12,1,0,49.2,,-,,,,WHITEHAVEN,NX 9718,54.55,-3.59,,,,1848 no other info
TYRain_1840-1849_E_pt1,143,Rainfall,1840s,England,Cumberland,-,N,-,ROUND CLOSE WHITEHAVEN,10,1840,[......9##.],33,0,27.5,1846/04,1848/12,2,0,44.4,,-,,,,WHITEHAVEN-CROFT-HILL,NX 988198,54.563,-3.567,480,,,480' 1846-1848. No other info
TYRain_1840-1849_E_pt2,19,Rainfall,1840s,Wales,Carmarthenshire,-,N,-,LLANELLY BRIDGE PARADE CARMARTHEN,10,1840,[..1.......],1,0,0.8,1842/09,1842/09,0,0,,,-,,,,LLANELLY-BRIDGE-PARADE-CARMARTHEN,SN 507005,51.683,-4.161,30,,,NGR is Bridge Street Llanelli close to where Crown Parade was. Altitude is from OS map. NGR could be +/- 250m or more.
TYRain_1840-1849_E_pt2,28,Rainfall,1840s,Channel Islands,Jersey,-,N,-,JERSEY ST HELIER,10,1840,[.........3],3,0,2.5,1849/10,1849/12,0,0,,,-,,,,JERSEY-ST-HELIER,,,,,,,
TYRain_1840-1849_E_pt2,29,Rainfall,1840s,Channel Islands,Jersey,-,N,-,JERSEY,10,1840,[........#.],12,0,10.0,1848/01,1848/12,1,0,61.9,,-,,,,JERSEY,,,,,,,
TYRain_1840-1849_E_pt3,20,Rainfall,1840s,Scotland,Midlothian (Edinburgh),-,N,-,BLACK HILLS,10,1840,[.......7#9],27,0,22.5,1847/05,1849/09,0,0,,,-,,,,BLACK-HILLS,,,,,,,Edin WW 1847-Oct 1949 no elev
TYRain_1840-1849_E_pt3,25,Rainfall,1840s,Scotland,Midlothian (Edinburgh),-,N,-,Torbray Hill,10,1840,[.......82.],10,0,8.3,1847/05,1848/03,0,0,,,-,,,,TORBRAY-HILL,,,,,,,Edin WW no elev. May 47 to mar 48
TYRain_1840-1849_E_pt3,27,Rainfall,1840s,Scotland,Midlothian (Edinburgh),-,N,-,EDINBURGH QUEEN STREET GARDENS,10,1840,[.....##...],24,0,20.0,1845/01,1846/12,2,0,30.9,,-,,,,EDINBURGH-QUEEN-ST-GARDENS,,,,,,,1845-6 no elev.
TYRain_1840-1849_E_pt3,81,Rainfall,1840s,Scotland,Caithness,-,N,-,WICK CAITHNESS,10,1840,[#.........] Dup,12,0,10.0,1840/01,1840/12,1,0,35.3,Duplication,-,,,,DUNNETHEAD,,,,,,Statistical Acccounts of Scotland,Duplicate of DUNNETHEAD
TYRain_1850-1859_F_pt1,13,Rainfall,1850s,England,Shropshire,-,N,-,ACTON SCOTT CHURCH STRETTON,10,1850,[..#1......],13,0,10.8,1852/01,1853/01,1,0,39.1,,-,,,,ACTON-SCOTT-CHURCH-STRETTON,SO 455895,52.501,-2.804,650,,,"NGR is centre of  small village and close to Acton Scott Hall, there are no clues on the sheet about the location. The altitude is from the OS map."
TYRain_1850-1859_F_pt1,14,Rainfall,1850s,England,Shropshire,-,N,-,CHURCH STRETTON UNKNOWN,10,1850,[..#.......],11,0,9.2,1852/02,1852/12,0,0,,,-,,,,CHURCH-STRETTON,,,,,,,No clues as to where this is in Church Stretton
TYRain_1850-1859_F_pt1,15,Rainfall,1850s,England,Shropshire,-,N,-,LONGNOR Nr CHURCH STRETTON,10,1850,[..9.......],9,0,7.5,1852/04,1852/12,0,0,,,-,,,,LONGNOR-NR-CHURCH-STRETTON,SJ 487005,52.600,-2.759,350,,,"NGR is centre of  small village and close to Longnor Hall, there are no clues on the sheet about the location. The altitude is from the OS map."
TYRain_1850-1859_F_pt1,17,Rainfall,1850s,England,Shropshire,-,N,-,SHREWSBURY,10,1850,[.2#.......],12,0,10.0,1851/11,1852/10,0,0,,,-,,,,SHREWSBURY-UNKNOWN,,,,,,,No information on sheet. 12 months but not a complete calendar year
TYRain_1850-1859_F_pt1,18,Rainfall,1850s,England,Shropshire,-,N,-,BADGER NR SHIFNAL,10,1850,[..#.......],12,0,10.0,1852/01,1852/12,1,0,33.3,,-,,,,BADGER-NEAR-SHIFNAL,SO 768995,52.593,-2.344,280?,,,"NGR is centre as small village, no clues as to where in the village. Could be +/- 0.5 miles"
TYRain_1850-1859_F_pt1,32,Rainfall,1850s,England,Worcestershire,-,N,-,WORCESTER,10,1850,[.....T#9..] Dup,21,0,17.5,1856/01,1857/09,2,0,26.4,Duplication,-,,,,WORCESTER,,,,,,,N Edis? No other info
TYRain_1850-1859_F_pt1,33,Rainfall,1850s,England,Worcestershire,-,N,-,WORCESTER,10,1850,[....3##9..] Dup,36,0,30.0,1854/10,1857/09,2,0,26.3,Duplication,-,,,,WORCESTER,,,,,,,similar to page 32 and note to the same on the record
