GitHub Folder,Country,County,Has Concat?,Concat count,Sheet count,Start year,End year,GitHub Timestamp
ABERGWESYN-NANTNEUADD,Wales,Cardiganshire,N,0,6,1890,1950,2020-07-13 15:11:13 +0100
ABERGWESYN-TRALLWN,Wales,Brecknockshire,N,0,9,1890,1960,2020-10-03 18:14:30 +0100
ABERLADY-MIX,Scotland,East Lothian (Haddington),Y,2,5,1890,1960,2021-01-12 20:43:39 +0000
ABERLOUR-MIX,Scotland,Banffshire,Y,2,7,1890,1940,2020-09-14 15:36:13 +0100
ABERNETHY-MIX,Scotland,Perthshire,N,0,7,1890,1950,2021-01-04 22:36:54 +0000
ABERPORTH,Wales,Cardiganshire,N,0,2,1941,1960,2020-11-17 01:16:19 +0000
ABERSOCH,Wales,Caernarfonshire,N,0,5,1900,1960,2020-11-06 11:36:45 +0000
ABERSYCHAN-GLANSYCHAN,Wales,Monmouthshire,N,0,6,1890,1950,2020-09-22 16:59:03 +0100
ABERSYCHAN-THE-HAWTHORNS,Wales,Monmouthshire,N,0,3,1890,1919,2020-09-22 16:59:03 +0100
ABERTILLERY-THE-PARK,Wales,Monmouthshire,N,0,5,1910,1960,2020-10-08 13:01:46 +0100
ABERYSTWYTH-CASTLE-GROUNDS,Wales,Cardiganshire,N,0,4,1890,1930,2020-09-02 23:14:52 +0100
ABERYSTWYTH-CORPORATION-YARD,Wales,Cardiganshire,N,0,4,1920,1960,2020-09-16 20:09:31 +0100
ABERYSTWYTH-GOGERDDAN,Wales,Cardiganshire,Y,1,6,1870,1930,2020-07-08 14:36:05 +0100
ABERYSTWYTH-NORTH-PARADE,Wales,Cardiganshire,N,0,6,1880,1940,2020-09-16 20:09:31 +0100
ABERYSTWYTH-PLANT-BREEDING-STATION,Wales,Cardiganshire,N,0,4,1920,1960,2020-11-06 11:36:45 +0000
ABINGDON-CALDECOTT-HOUSE,England,Berkshire,N,0,3,1890,1919,2020-12-16 23:16:29 +0000
ABINGDON-CULHAM,England,Oxfordshire,Y,1,4,1880,1919,2020-12-11 17:08:20 +0000
ABINGDON-FRILFORD-HEATH,England,Berkshire,N,0,3,1931,1960,2020-12-16 23:16:29 +0000
ABINGDON-NUNEHAM-PARK,England,Oxfordshire,Y,1,7,1880,1950,2021-01-12 20:43:39 +0000
ABINGDON-SEWAGE-WORKS,England,Berkshire,Y,1,7,1890,1960,2020-07-08 14:36:05 +0100
ABINGDON-THE-FIRS,England,Berkshire,N,0,4,1920,1960,2020-12-16 23:16:29 +0000
ABINGDON-UNION,England,Berkshire,Y,1,4,1890,1930,2020-12-11 17:08:20 +0000
ABINGTON-PIGOTTS-ROYSTON,England,Cambridgeshire,Y,1,10,1860,1960,2020-07-08 14:36:05 +0100
ACCRINGTON-MILNSHAW-PARK,England,Lancashire,N,0,6,1880,1940,2020-08-05 08:51:20 +0100
ACCRINGTON-WARMDEN-RES,England,Lancashire,N,0,3,1860,1889,2020-09-06 16:32:17 +0100
ACHNAHARD,Scotland,Perthshire,Y,1,5,1910,1960,2020-10-03 18:14:30 +0100
ACKLETON-MIX,England,Shropshire,Y,3,8,1910,1960,2020-10-05 17:55:20 +0100
ACKLINGTON-AIRFIELD,England,Northumberland,Y,1,2,1941,1960,2021-01-12 20:43:39 +0000
ACKLINGTON-BROOMHILL-COLLIERY,England,Northumberland,Y,1,7,1890,1960,2020-07-08 14:36:05 +0100
ACKWORTH-SCHOOL,England,Yorkshire West Riding,Y,2,10,1820,1940,2020-07-08 14:36:05 +0100
ACKWORTH-VILLA,England,Yorkshire West Riding,Y,1,3,1840,1869,2020-12-14 13:23:39 +0000
ACLE,England,Norfolk,Y,2,9,1860,1940,2020-07-09 21:03:41 +0100
ACRISE-PLACE,England,Kent-stayed-Kent,Y,1,3,1880,1909,2020-10-20 00:02:18 +0100
ADDERLEY-NORTON-IN-HALES-MIX,England,Shropshire,Y,4,13,1860,1960,2020-10-09 13:33:15 +0100
ADDINGTON-HARES-BANK,England,Surrey-stayed-Surrey,Y,1,8,1880,1960,2020-07-08 14:36:05 +0100
ADDINGTON-HILLS-RES,England,Surrey-stayed-Surrey,Y,1,7,1890,1960,2020-07-15 20:09:52 +0100
ADDINGTON-MANOR-WINSLOW,England,Buckinghamshire,Y,2,8,1870,1919,2020-12-13 23:08:23 +0000
ADDINGTON-PARK-FARM,England,Surrey-stayed-Surrey,Y,1,4,1870,1909,2020-12-13 23:08:23 +0000
ADEL-LAWNS-WOOD-CEMETERY,England,Yorkshire West Riding,Y,1,8,1880,1960,2020-12-14 13:23:39 +0000
AFON-LLIW-BLAEN-LLIW-ISAF,Wales,Merionethshire,Y,1,3,1931,1960,2020-12-11 17:08:20 +0000
AFON-MYNACH-HAFOD-HWYDOG,Wales,Merionethshire,Y,1,3,1931,1960,2020-12-11 17:08:20 +0000
AHASCRAGH-CLONBROCK,Ireland/Republic of Ireland,Galway,Y,2,8,1870,1940,2020-07-08 14:36:05 +0100
AIGBURTH,England,Lancashire,N,0,6,1880,1940,2020-09-21 20:54:48 +0100
AIGBURTH-HOLMFIELD,England,Lancashire,N,0,5,1890,1930,2020-09-06 16:32:17 +0100
AILSA-CRAIG,Scotland,Ayrshire,Y,1,8,1880,1960,2020-07-08 14:36:05 +0100
AIRDRIE-BROOMKNOLL-STREET,Scotland,Lanarkshire,N,0,6,1900,1960,2020-10-29 09:23:05 +0000
AIRDRIE-FORRESTBURN-RES,Scotland,Lanarkshire,N,0,7,1900,1960,2020-07-21 18:34:35 +0100
AIRDRIE-HILLEND,Scotland,Lanarkshire,Y,1,11,1850,1960,2020-10-03 18:14:30 +0100
AISLABY-PARK-HALL,England,Yorkshire North Riding,N,0,6,1900,1960,2020-07-01 17:36:52 +0100
AITNACH,Scotland,Aberdeenshire,N,0,5,1910,1960,2020-11-11 15:26:25 +0000
ALCESTER-RAGLEY,England,Warwickshire,Y,2,8,1880,1950,2020-10-03 18:14:30 +0100
ALCESTER-SAMBOURNE,England,Warwickshire,Y,1,2,1860,1879,2021-01-12 20:43:39 +0000
ALDBOROUGH-ALDRINGHAM,England,Suffolk,Y,1,4,1880,1919,2020-10-13 14:23:27 +0100
ALDERLEY-RECTORY,England,Cheshire,N,0,2,1677,1886,2020-07-13 15:11:13 +0100
ALDERNEY-HARBOUR,Channel Islands,Alderney,N,0,3,1850,1879,2020-07-13 15:11:13 +0100
ALDERSHOT,England,Hampshire,N,0,6,1860,1909,2020-09-14 15:36:13 +0100
ALDERSHOT-CAMP,England,Hampshire,N,0,9,1850,1879,2020-09-07 10:20:08 +0100
ALDHAM,England,Suffolk,Y,1,2,1850,1869,2020-11-06 21:54:10 +0000
ALDRIDGE-BOURNE-VALE,England,Staffordshire,Y,1,5,1910,1960,2020-11-16 23:16:55 +0000
ALDWINKLE-ST-PETER,England,Northamptonshire,Y,1,4,1890,1930,2020-11-02 13:13:18 +0000
ALDWORTH-READING,England,Berkshire,Y,1,2,1820,1849,2020-09-14 15:36:13 +0100
ALFORD-ABERDEENSHIRE,Scotland,Aberdeenshire,Y,1,2,1830,1849,2020-12-09 22:15:20 +0000
ALFORD-CEMETERY,England,Lincolnshire,Y,2,5,1880,1930,2020-11-10 17:41:42 +0000
ALICE-HOLT-FOREST,England,Hampshire,N,0,5,1910,1960,2020-10-29 09:23:05 +0000
ALKHAM-LOWER-STANDEN,England,Kent-stayed-Kent,Y,1,7,1890,1960,2020-10-20 00:02:18 +0100
ALLENHEADS,England,Northumberland,Y,4,14,1820,1960,2020-07-08 14:36:05 +0100
ALLOA-HOUSE-GDNS,Scotland,Clackmannanshire,Y,1,6,1900,1960,2020-10-28 22:39:56 +0000
ALLOA-WW-GARTMORN-RES,Scotland,Clackmannanshire,Y,1,6,1900,1960,2020-10-28 22:39:56 +0000
ALLT-A-CHOIN,Scotland,Perthshire,Y,2,6,1910,1960,2020-10-15 14:58:11 +0100
ALNESS-ARDROSS-CASTLE,Scotland,Ross and Cromarty,Y,1,8,1860,1940,2020-07-31 15:48:44 +0100
ALNESS-ARDROSS-SCHOOL,Scotland,Ross and Cromarty,Y,1,3,1931,1960,2020-12-19 00:27:45 +0000
ALNWICK-CASTLE,England,Northumberland,Y,1,6,1870,1930,2020-07-08 14:36:05 +0100
ALNWICK-GLANTON-PIKE,England,Northumberland,Y,1,8,1860,1940,2020-10-12 23:15:37 +0100
ALRESFORD-ARLE-BURY,England,Hampshire,N,0,4,1860,1899,2020-08-09 14:04:50 +0100
ALRESFORD-OVINGTON-RECTORY,England,Hampshire,Y,1,9,1870,1960,2020-07-08 14:36:05 +0100
ALRESFORD-SWARRATON-RECTORY,England,Hampshire,N,0,4,1870,1909,2020-08-09 14:04:50 +0100
ALSTON,England,Cumberland,Y,2,8,1880,1960,2020-12-14 13:23:39 +0000
ALSTON-LOVELADY,England,Cumberland,Y,1,5,1860,1960,2021-01-12 20:43:39 +0000
ALSTON-NENTHEAD,England,Cumberland,Y,3,6,1860,1960,2020-12-14 13:23:39 +0000
ALSTONFIELD-VICARAGE,England,Staffordshire,Y,1,5,1870,1930,2020-11-16 23:16:55 +0000
ALTHORP-HOUSE,England,Northamptonshire,Y,1,13,1820,1960,2020-07-08 14:36:05 +0100
ALTNABREAC-HRS,Scotland,Caithness,Y,2,4,1870,1940,2020-10-09 13:33:15 +0100
ALTON-ASHDELL,England,Hampshire,N,0,6,1860,1919,2020-08-09 14:04:50 +0100
ALTON-EAST-TISTED-RECTORY,England,Hampshire,N,0,3,1870,1899,2020-09-28 10:21:39 +0100
ALTON-MEDSTEAD,England,Hampshire,N,0,3,1860,1889,2020-10-06 21:52:24 +0100
ALTRINCHAM-BARRINGTON-HOUSE,England,Cheshire,Y,1,8,1860,1940,2020-07-08 14:36:05 +0100
ALTRINCHAM-NORMANS-PLACE,England,Cheshire,Y,2,10,1880,1960,2020-11-06 11:36:45 +0000
ALVIE-MIX,Scotland,Inverness,Y,2,7,1890,1940,2020-12-14 23:11:18 +0000
ALWINTON-BIDDLESTON,England,Northumberland,Y,1,4,1870,1909,2020-10-20 00:02:18 +0100
ALWINTON-HARBOTTLE,England,Northumberland,Y,1,4,1870,1909,2020-10-12 23:15:37 +0100
AMBLESIDE-HIGH-CLOSE,England,Westmorland,Y,2,17,1677,1960,2020-11-16 23:16:55 +0000
AMBLESIDE-LESKETH-HOWE,England,Westmorland,Y,1,10,1840,1940,2020-07-08 14:36:05 +0100
AMBLESIDE-LOW-NOOK,England,Westmorland,Y,1,3,1850,1879,2020-11-02 13:13:18 +0000
AMBLESIDE-NOOK-COTTAGE,England,Westmorland,Y,1,3,1870,1899,2020-11-02 13:13:18 +0000
AMERSHAM-COMMON-THE-PLANTATION,England,Buckinghamshire,Y,1,6,1890,1950,2020-12-11 17:08:20 +0000
AMHUINSUIDH-CASTLE,Scotland,Inverness,Y,1,4,1920,1960,2020-12-15 13:23:52 +0000
AMLWCH-DYFFRYN-ADDA,Wales,Anglesey,N,0,5,1910,1960,2020-11-16 23:16:55 +0000
AMPLEFORTH-ABBEY,England,Yorkshire North Riding,N,0,7,1890,1960,2020-09-02 23:14:52 +0100
AMPTHILL-HAYNES-PARK,England,Bedfordshire,Y,1,2,1870,1889,2020-11-02 13:13:18 +0000
AMPTHILL-HIGHAM-BURY,England,Bedfordshire,Y,1,4,1890,1930,2020-11-02 13:13:18 +0000
AMPTHILL-LIDLINGTON,England,Bedfordshire,Y,1,3,1870,1889,2020-11-02 13:13:18 +0000
AMPTHILL-MIX,England,Bedfordshire,Y,2,5,1860,1899,2020-11-02 13:13:18 +0000
AMPTHILL-SILSOE,England,Bedfordshire,Y,1,4,1870,1909,2020-11-02 13:13:18 +0000
ANCHOR-KERRY-FOREST,Wales,Montgomeryshire,N,0,2,1941,1960,2020-12-16 23:16:29 +0000
ANCRUM-MONTEVIOT,Scotland,Roxburghshire,Y,1,5,1910,1960,2020-10-20 00:02:18 +0100
ANDOVER-RED-RICE,England,Hampshire,N,0,3,1860,1889,2020-09-06 16:32:17 +0100
ANDOVER-SEWAGE-WORKS,England,Hampshire,N,0,5,1910,1960,2020-10-08 13:01:46 +0100
ANDOVER-THE-KNOLL,England,Hampshire,N,0,3,1880,1909,2020-09-21 20:54:48 +0100
ANGERSLEIGH-LEIGH-COURT,England,Somerset,N,0,5,1900,1950,2020-10-28 15:35:08 +0000
ANGERSLEIGH-LEIGH-RES,England,Somerset,N,0,6,1890,1960,2020-07-24 21:28:29 +0100
ANNACARTER-SCHOOLHOUSE,Ireland/Republic of Ireland,Wicklow,N,0,4,1860,1919,2020-09-21 20:54:48 +0100
ANNAGHANOON,Ireland/Northern Ireland,Down,N,0,4,1920,1960,2020-12-14 19:25:52 +0000
ANNAN-WARMANBIE,Scotland,Dumfriesshire,Y,1,3,1860,1889,2020-10-09 13:33:15 +0100
ANNAT-COTTAGE-PERTHSHIRE,Scotland,Perthshire,Y,2,5,1840,1950,2020-10-22 22:18:37 +0100
ANNESLEY-SELSTON-WW,England,Nottinghamshire,N,0,5,1890,1940,2020-08-20 17:01:34 +0100
ANTRIM-ARDNAVEIGH,Ireland/Northern Ireland,Antrim,Y,1,4,1890,1930,2021-01-12 20:43:39 +0000
ANTRIM-THE-MANSE,Ireland/Northern Ireland,Antrim,Y,1,4,1860,1899,2021-01-12 20:43:39 +0000
APPIN-AIRDS,Scotland,Argyll,Y,2,7,1850,1909,2020-10-03 18:14:30 +0100
APPLEBY-CASTLE-BANK,England,Westmorland,Y,1,7,1890,1960,2020-07-08 14:36:05 +0100
APPLEBY-VIC,England,Lincolnshire,Y,2,7,1840,1899,2020-11-10 17:41:42 +0000
APPLEBY-WESTMORLAND,England,Westmorland,Y,1,5,1850,1899,2020-09-16 20:09:31 +0100
APPLECROSS-GDNS,Scotland,Ross and Cromarty,Y,1,10,1860,1960,2020-07-08 14:36:05 +0100
APPLETON-RES,England,Cheshire,N,0,8,1890,1960,2020-06-26 22:55:03 +0100
APSLEY-GUISE-OAKLANDS,England,Bedfordshire,Y,3,8,1870,1919,2020-11-02 13:13:18 +0000
ARBROATH,Scotland,Angus (Forfar),Y,1,2,1840,1859,2020-12-14 23:11:18 +0000
ARBROATH-DISHLAND-HILL,Scotland,Angus (Forfar),N,0,4,1890,1930,2020-09-21 20:54:48 +0100
ARBROATH-KEPTIE-ROAD,Scotland,Angus (Forfar),Y,1,5,1840,1889,2020-07-08 14:36:05 +0100
ARBROATH-MUIRHEADS-RES,Scotland,Angus (Forfar),N,0,6,1900,1960,2020-07-21 18:34:35 +0100
ARBROATH-ST-VIGEANS,Scotland,Angus (Forfar),N,0,2,1840,1859,2020-09-16 11:39:06 +0100
ARBROATH-WW,Scotland,Angus (Forfar),N,0,12,1880,1909,2020-09-21 20:54:48 +0100
ARDCLACH-GLENFERNESS,Scotland,Nairnshire,Y,2,8,1890,1960,2020-07-08 14:36:05 +0100
ARDEE-LISRENNY,Ireland/Republic of Ireland,Louth,N,0,6,1880,1940,2020-07-21 18:34:35 +0100
ARDENCAPLE-ROW-DUMBARTON,Scotland,Dunbartonshire,N,0,1,1830,1839,2021-01-04 22:36:54 +0000
ARDGOUR-HOUSE,Scotland,Argyll,Y,3,10,1860,1960,2020-07-08 14:36:05 +0100
ARDKINGLAS,Scotland,Argyll,N,0,6,1900,1960,2020-07-21 18:34:35 +0100
ARDNADREAN,Ireland/Republic of Ireland,Donegal,Y,1,3,1880,1909,2021-01-12 20:43:39 +0000
ARDNAMURCHAN-LIGHTHOUSE,Scotland,Argyll,Y,1,12,1840,1960,2020-10-03 18:14:30 +0100
ARDRISHAIG,Scotland,Argyll,Y,1,10,1870,1960,2020-07-08 14:36:05 +0100
ARDROSSAN,Scotland,Ayrshire,Y,1,3,1870,1899,2020-12-15 13:23:52 +0000
ARDROSSAN-KIRKHALL,Scotland,Ayrshire,Y,1,3,1870,1899,2020-10-06 11:38:31 +0100
ARDSLEY-JAW-HILL,England,Yorkshire West Riding,Y,1,6,1900,1960,2020-12-14 13:23:39 +0000
ARDSLEY-RES,England,Yorkshire West Riding,Y,3,11,1900,1960,2020-12-14 13:23:39 +0000
ARDTREA,Ireland/Northern Ireland,Londonderry,Y,1,2,1677,1886,2020-07-08 14:36:05 +0100
ARENIG,Wales,Merionethshire,N,0,2,1941,1960,2020-12-16 23:16:29 +0000
ARISAIG-FAIRE-NA-SGUIR,Scotland,Inverness,Y,1,5,1900,1950,2020-12-15 13:23:52 +0000
ARISAIG-HOUSE,Scotland,Inverness,Y,1,8,1880,1960,2020-07-08 14:36:05 +0100
ARKHOLME-STORRS,England,Lancashire,Y,1,5,1860,1909,2020-07-08 14:36:05 +0100
ARMAGH-LLOYD,Ireland/Northern Ireland,Armagh,N,0,2,1677,1886,2020-06-28 14:32:09 +0100
ARMAGH-OBSERVATORY,Ireland/Northern Ireland,Armagh,Y,2,17,1830,1960,2020-07-08 14:36:05 +0100
ARMBOTH,England,Cumberland,Y,1,3,1870,1899,2020-10-30 20:47:19 +0000
ARMBOTH-FELLS-THE-PEWITTS,England,Cumberland,Y,1,10,1870,1960,2020-07-08 14:36:05 +0100
ARNCLIFFE-VICARAGE,England,Yorkshire West Riding,Y,3,9,1850,1919,2020-07-08 14:36:05 +0100
ARNFIELD-RES,England,Cheshire,Y,2,14,1850,1960,2020-07-08 14:36:05 +0100
ARRAN-BRODICK,Scotland,Bute,N,0,5,1870,1919,2020-10-15 21:39:29 +0100
ARRAN-DOUGARIE,Scotland,Bute,Y,2,6,1880,1960,2020-10-15 14:58:11 +0100
ARROCHAR-MANSE,Scotland,Dunbartonshire,N,0,3,1870,1899,2021-01-04 22:36:54 +0000
ARUNDEL-CLAPHAM-RECTORY,England,Sussex,Y,1,3,1880,1909,2020-10-28 22:39:56 +0000
ARUNDEL-DALE-PARK,England,Sussex,Y,1,6,1840,1899,2020-07-08 14:36:05 +0100
ARUNDEL-PATCHING,England,Sussex,Y,2,14,1860,1960,2020-09-14 15:36:13 +0100
ARUNDEL-YAPTON-BONHAMS,England,Sussex,Y,1,7,1860,1930,2020-09-14 15:36:13 +0100
ARUNDEL-YAPTON-DROVE-FARM,England,Sussex,Y,1,5,1880,1930,2020-09-14 15:36:13 +0100
ASCOT-WINKFIELD-MANOR,England,Berkshire,N,0,5,1890,1950,2020-12-16 23:16:29 +0000
ASH-BOCKING-VICARAGE,England,Suffolk,Y,2,6,1880,1919,2020-10-13 14:23:27 +0100
ASHBURTON-DRUID-HOUSE,England,Devon,Y,1,8,1860,1940,2020-07-08 14:36:05 +0100
ASHBURTON-WIDECOMBE-VIC,England,Devon,N,0,4,1860,1899,2020-07-31 00:39:46 +0100
ASHCOMBE-THORNS-RES,England,Devon,N,0,6,1900,1950,2020-07-23 16:42:10 +0100
ASHFORD,England,Kent-stayed-Kent,Y,2,6,1900,1960,2020-09-14 15:36:13 +0100
ASHFORD-BEAVER-GREEN,England,Kent-stayed-Kent,Y,1,4,1870,1909,2020-10-20 00:02:18 +0100
ASHFORD-BETHERSDEN,England,Kent-stayed-Kent,Y,1,4,1870,1909,2020-10-20 00:02:18 +0100
ASHOPTON-WIN-HILL,England,Derbyshire,N,0,3,1890,1919,2020-10-07 15:46:25 +0100
ASHTEAD-DABERNON-CHASE,England,Surrey-stayed-Surrey,Y,1,4,1880,1919,2020-12-13 23:08:23 +0000
ASHTON-UNDER-LYNE-HENRIETTA-ST-YD,England,Lancashire,N,0,6,1900,1960,2020-07-31 00:39:46 +0100
ASHTON-UNDER-LYNE-KNOTT-HILL,England,Lancashire,Y,1,10,1860,1960,2020-07-08 14:36:05 +0100
ASHTON-WATERHOUSES,England,Lancashire,Y,1,9,1840,1930,2020-07-08 14:36:05 +0100
ASHWATER-RECTORY,England,Devon,Y,1,6,1900,1960,2020-07-15 20:09:52 +0100
ASPATRIA-BRAYTON,England,Cumberland,Y,2,6,1860,1919,2021-01-04 22:36:54 +0000
ASSYNT-ACHUMORE,Scotland,Sutherland,Y,1,2,1870,1889,2020-12-14 23:11:18 +0000
ATHERSTONE,England,Warwickshire,Y,1,3,1880,1909,2020-10-03 18:14:30 +0100
ATHLONE,Ireland/Republic of Ireland,Westmeath,N,0,5,1890,1940,2020-07-31 00:39:46 +0100
ATHLONE-TWYFORD-HOUSE,Ireland/Republic of Ireland,Westmeath,Y,1,8,1860,1940,2020-10-06 00:25:13 +0100
AUCHENCAIRN-TORR-HOUSE,Scotland,Kirkcudbrightshire,Y,2,10,1870,1960,2020-10-09 13:33:15 +0100
AUCHINRAITH-HAMILTON,Scotland,Lanarkshire,Y,1,5,1830,1879,2020-07-08 14:36:05 +0100
AUCHTERARDER-COLQUHALZIE,Scotland,Perthshire,Y,1,4,1850,1889,2020-10-03 18:14:30 +0100
AUCHTERARDER-HOUSE,Scotland,Perthshire,Y,1,3,1850,1879,2020-10-03 18:14:30 +0100
AUCHTERARDER-TRINITY-GASK,Scotland,Perthshire,Y,1,3,1850,1879,2020-11-01 22:05:48 +0000
AUSKERRY,Scotland,Orkney,Y,1,8,1860,1940,2020-07-08 14:36:05 +0100
AVIEMORE-HRS,Scotland,Inverness,Y,1,5,1870,1919,2020-12-15 13:23:52 +0000
AXBRIDGE-LOXTON,England,Somerset,Y,1,3,1880,1909,2020-12-13 23:08:23 +0000
AXMINSTER-LEA-COMBE-HOUSE,England,Devon,N,0,5,1900,1950,2020-10-07 15:46:25 +0100
AYLESBURY-MENTMORE,England,Buckinghamshire,Y,1,9,1870,1960,2020-07-08 14:36:05 +0100
AYLESBURY-NEW-ROAD,England,Buckinghamshire,Y,1,6,1820,1899,2020-11-06 11:36:45 +0000
AYLESBURY-SEWAGE-WORKS,England,Buckinghamshire,Y,1,6,1900,1960,2020-12-11 17:08:20 +0000
AYLESBURY-WADDESDON,England,Buckinghamshire,Y,1,3,1880,1909,2020-12-13 23:08:23 +0000
AYLESFORD-PRESTON-HALL,England,Kent-stayed-Kent,Y,1,4,1870,1909,2020-12-09 22:15:20 +0000
AYLSHAM-WOODGATE,England,Norfolk,Y,2,8,1880,1960,2020-09-22 16:59:03 +0100
AYNSOME,England,Lancashire,N,0,2,1850,1869,2020-09-21 23:38:46 +0100
AYR-AUCHENDRANE,Scotland,Ayrshire,Y,3,8,1850,1899,2020-10-03 18:14:30 +0100
AYR-CEMETERY,Scotland,Ayrshire,Y,1,5,1910,1960,2020-12-14 23:11:18 +0000
AYR-DOONHOLM,Scotland,Ayrshire,Y,1,7,1890,1960,2020-07-08 14:36:05 +0100
AYR-DOONSIDE,Scotland,Ayrshire,Y,1,6,1890,1960,2020-07-08 14:36:05 +0100
AYR-GLENDRISHAIG,Scotland,Ayrshire,Y,1,4,1890,1930,2020-10-05 17:55:20 +0100
AYR-HOLMSTON,Scotland,Ayrshire,Y,1,2,1860,1879,2020-10-06 11:38:31 +0100
AYR-LANFINE,Scotland,Ayrshire,Y,2,6,1830,1960,2020-07-08 14:36:05 +0100
AYR-SANATORIUM,Scotland,Ayrshire,Y,1,5,1910,1960,2020-10-07 23:32:37 +0100
AYSGARTH-VICARAGE,England,Yorkshire North Riding,N,0,12,1870,1909,2020-08-20 17:01:34 +0100
BADMINTON-GDNS,England,Gloucestershire,Y,1,7,1890,1960,2020-09-14 15:36:13 +0100
BAGATELLE-GREENOCK,Scotland,Renfrewshire,N,0,2,1840,1859,2020-09-21 23:38:46 +0100
BAGNALSTOWN-FENAGH-HOUSE,Ireland/Republic of Ireland,Carlow,Y,2,9,1870,1940,2020-07-08 14:36:05 +0100
BAGTHORPE-ISOLATION-HOSPITAL,England,Nottinghamshire,N,0,5,1900,1950,2020-10-06 11:38:31 +0100
BAILLIESTON,Scotland,Lanarkshire,Y,1,3,1850,1879,2020-07-27 16:01:44 +0100
BALA-CRAIG-NANT,Wales,Merionethshire,Y,1,3,1931,1960,2021-01-12 20:43:39 +0000
