src_id,Station name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode,Open datasets available
14843,BELDORNEY CASTLE,ABERDEENSHIRE,COUNTY,[1968-01-01],[2001-05-31],57.4199,-2.96412,AB54 4,
30288,BELDORNEY CASTLE NO 2,ABERDEENSHIRE,COUNTY,[2001-08-30],[2005-06-01],57.4193,-2.96372,AB54 4,
14915,BENNACHIE,ABERDEENSHIRE,COUNTY,[1972-01-01],[1992-12-31],57.2878,-2.50936,AB51 9,
14989,BIELDSIDE: CAIRNLEE,ABERDEENSHIRE,COUNTY,[1959-01-01],[1967-12-31],57.1162,-2.19487,AB1 9,
14988,BIELDSIDE: KERRERA,ABERDEENSHIRE,COUNTY,[1959-01-01],[1976-12-31],57.1233,-2.21143,AB1 9,
14990,BIELDSIDE: NETHERTON LODGE,ABERDEENSHIRE,COUNTY,[1951-01-01],[1958-12-31],57.1224,-2.20977,AB1 9,
14947,BIRKHALL,ABERDEENSHIRE,COUNTY,[1986-01-01],[1993-12-31],57.0281,-3.07752,AB35 5,
14948,BIRKHALL SAWMILL,ABERDEENSHIRE,COUNTY,[1951-01-01],[2010-12-01],57.0289,-3.07575,AB35 5,
14949,BIRKHALL: STERNBEG,ABERDEENSHIRE,COUNTY,[1994-01-01],[1999-11-01],57.0309,-3.07431,AB35 5,
14943,BIRKHALL: WOODSTOCK,ABERDEENSHIRE,COUNTY,[1972-01-01],[1985-12-31],57.0418,-3.0532,AB35 5,
19179,BLAIRDAFF,ABERDEENSHIRE,COUNTY,[1997-03-01],[Current],57.2486,-2.5036,AB51 5,
19262,BOGENSOURIE,ABERDEENSHIRE,COUNTY,[1998-01-01],[2005-08-25],57.61,-2.0856,AB43 6,
16579,BOULTENSTONE OUTDOOR CENTRE,ABERDEENSHIRE,COUNTY,[1995-01-01],[1999-05-01],57.1853,-2.97454,AB36 8,DR DT DW HW ST
147,BRAEMAR,ABERDEENSHIRE,COUNTY,[1856-01-01],[2005-07-01],57.0061,-3.39635,AB35 5,DR DT DW HR HW ST
14938,BRAEMAR IRRIGATION FARM,ABERDEENSHIRE,COUNTY,[1959-01-01],[2004-10-01],57.0123,-3.40318,AB35 5,
55827,BRAEMAR NO 2,ABERDEENSHIRE,COUNTY,[2005-06-27],[Current],57.0108,-3.39576,AB35 5,DT DW HR HW RA ST
16622,BRIDGE OF ALFORD,ABERDEENSHIRE,COUNTY,[1995-01-01],[Current],57.2418,-2.71846,AB33 8,
14928,BRIDGE OF DON,ABERDEENSHIRE,COUNTY,[1946-01-01],[1973-12-31],57.1783,-2.10256,AB22 8,
14920,BROADMYRE,ABERDEENSHIRE,COUNTY,[1989-01-01],[1997-02-28],57.3098,-2.76699,AB54 4,
14844,BRUNTLAND,ABERDEENSHIRE,COUNTY,[1965-01-01],[1971-12-31],57.3394,-2.91548,AB54 4,
14925,BUCKSBURN,ABERDEENSHIRE,COUNTY,[1971-01-01],[1973-12-31],57.18,-2.19024,AB2 9,
30140,BYTH HOUSE,ABERDEENSHIRE,COUNTY,[2000-09-01],[2009-10-01],57.5971,-2.3064,None,
16580,CAIRNORRIE: DRAKEMYRE CROFT,ABERDEENSHIRE,COUNTY,[1995-01-01],[2008-08-19],57.4647,-2.20688,AB41 0,DR DT DW HW MW ST
145,CAIRNWELL,ABERDEENSHIRE,COUNTY,[1993-01-01],[Current],56.8792,-3.41952,PH10 7,DT DW HW MW RA ST
30678,CANDACRAIG,ABERDEENSHIRE,COUNTY,[2002-02-16],[2002-10-31],57.1889,-3.08716,None,
14847,CLASHINDARROCH FOREST,ABERDEENSHIRE,COUNTY,[1968-01-01],[1997-07-01],57.4087,-2.90056,AB54 4,
144,CORGARFF: CASTLE LODGE,ABERDEENSHIRE,COUNTY,[1972-01-01],[2002-05-17],57.1651,-3.22869,AB36 8,DR DT DW HR HW
14940,CORNDAVON LODGE,ABERDEENSHIRE,COUNTY,[1939-01-01],[1979-12-31],57.1036,-3.27454,AB35 5,
160,CRAIBSTONE,ABERDEENSHIRE,COUNTY,[1925-01-01],[Current],57.1868,-2.21323,AB2 9,DR DT DW HR HW MW RA ST
14924,CRAIBSTONE: SOUTH MEETHILL FIELD,ABERDEENSHIRE,COUNTY,[1917-01-01],[1952-12-31],57.1871,-2.21014,AB2 9,
14992,CRAIGIEBUCKLER,ABERDEENSHIRE,COUNTY,[1931-01-01],[1995-09-30],57.1324,-2.15861,AB1 7,
14905,CRAIGIEVAR,ABERDEENSHIRE,COUNTY,[1967-01-01],[2002-11-01],57.1745,-2.71952,AB33 8,
14867,CRIMONMOGATE,ABERDEENSHIRE,COUNTY,[1981-01-01],[1994-12-31],57.6158,-1.94308,AB43 4,
14893,CULCHAVIE,ABERDEENSHIRE,COUNTY,[1972-01-01],[Current],57.1601,-3.33523,AB37 9,
17188,CULTERTY,ABERDEENSHIRE,COUNTY,[1964-01-01],[1975-12-31],57.3247,-2.00166,AB41 0,
167,CULTERTY NO 2,ABERDEENSHIRE,COUNTY,[1968-01-01],[1999-10-01],57.3256,-2.00166,AB41 0,DR DT DW HW MW ST
14904,CUSHNIE: WESTFIELD,ABERDEENSHIRE,COUNTY,[1973-01-01],[2012-10-01],57.1534,-2.7798,AB31 4,
14941,DALDOWNIE,ABERDEENSHIRE,COUNTY,[1981-01-01],[1992-12-31],57.0921,-3.24938,AB35 5,
14939,DANZIG SHIEL,ABERDEENSHIRE,COUNTY,[1971-01-01],[1996-12-01],56.998,-3.31373,AB35 5,
55825,DARA: MOSSHEAD,ABERDEENSHIRE,COUNTY,[2004-04-01],[2010-11-01],57.3513,-2.32607,AB51 0,
14932,DERRY LODGE,ABERDEENSHIRE,COUNTY,[1902-01-01],[1957-12-31],57.02,-3.58633,AB35 5,
14931,DERRY LODGE NO 2,ABERDEENSHIRE,COUNTY,[1955-01-01],[1979-12-31],57.02,-3.58798,AB35 5,
56791,DERRY LODGE NO 3,ABERDEENSHIRE,COUNTY,[2010-06-01],[Current],57.0208,-3.58597,AB35,
14900,DESKRYSHIEL,ABERDEENSHIRE,COUNTY,[1972-01-01],[Current],57.1808,-2.98182,AB36 8,
14962,DESS HOUSE,ABERDEENSHIRE,COUNTY,[1921-01-01],[1948-12-31],57.0901,-2.70138,AB34 5,
14937,DEVILS ELBOW: CAIRNWELL BURN,ABERDEENSHIRE,COUNTY,[1956-01-01],[1957-12-31],56.8855,-3.41319,AB35 5,
151,DINNET,ABERDEENSHIRE,COUNTY,[1962-01-01],[1982-12-31],57.1094,-2.91476,AB34 5,DR DT DW HW MW ST
16684,DINNET: BALNASTRAID,ABERDEENSHIRE,COUNTY,[1975-01-01],[1980-12-31],57.1103,-2.91478,AB34 5,
14986,DRUM CASTLE,ABERDEENSHIRE,COUNTY,[1866-01-01],[1975-12-31],57.0952,-2.33671,AB31 3,
14985,DRUMOAK,ABERDEENSHIRE,COUNTY,[1976-01-01],[1980-12-31],57.097,-2.33672,AB31 3,
14983,DUNECHT HOUSE,ABERDEENSHIRE,COUNTY,[1966-01-01],[Current],57.1598,-2.41173,AB32 7,
161,DYCE,ABERDEENSHIRE,COUNTY,[1942-01-01],[Current],57.2051,-2.2037,AB2 0,DR DT DW HR HW MW RA ST
14896,EDINGLASSIE HOUSE,ABERDEENSHIRE,COUNTY,[1967-01-01],[2000-06-30],57.1968,-3.11222,AB36 8,
14890,ELLON,ABERDEENSHIRE,COUNTY,[1975-01-01],[1989-12-31],57.3661,-2.06484,AB41 9,
14891,ELLON: AUCHMACOY,ABERDEENSHIRE,COUNTY,[1927-01-01],[1947-12-31],57.3679,-2.0133,AB41 8,
14887,ELLON: ESSLEMONT HOUSE,ABERDEENSHIRE,COUNTY,[1992-01-01],[Current],57.3652,-2.11076,AB41 8,
14889,ELLON: MEIKLEMILL,ABERDEENSHIRE,COUNTY,[1989-01-01],[1997-02-28],57.3643,-2.09477,AB41 8,
14895,ERNAN SHIEL,ABERDEENSHIRE,COUNTY,[1972-01-01],[1998-04-02],57.2004,-3.20669,AB36 8,
14888,ESSLEMONT HOUSE,ABERDEENSHIRE,COUNTY,[1913-01-01],[1969-12-31],57.3642,-2.10973,AB41 8,
14871,FEDDERATE: BRUNTHILL FARM,ABERDEENSHIRE,COUNTY,[1989-01-01],[1996-04-30],57.5635,-2.23403,AB53 6,
23947,FEDDERATE RESR,ABERDEENSHIRE,COUNTY,[1998-08-01],[1999-02-28],57.559,-2.2223,AB53 6,
14872,FEDDERATE RESR NO 1,ABERDEENSHIRE,COUNTY,[1937-01-01],[1978-12-31],57.5635,-2.22567,AB53 6,
14873,FEDDERATE RESR NO 2,ABERDEENSHIRE,COUNTY,[1979-01-01],[1981-12-31],57.5644,-2.22735,AB53 6,
14874,FEDDERATE RESR NO 3,ABERDEENSHIRE,COUNTY,[1982-01-01],[1983-12-31],57.5635,-2.2357,AB53 6,
14875,FEDDERATE RESR NO 4,ABERDEENSHIRE,COUNTY,[1986-01-01],[1989-12-31],57.5617,-2.22399,AB53 6,
14914,FETTERNEAR,ABERDEENSHIRE,COUNTY,[1983-01-01],[1985-12-31],57.2556,-2.48405,AB51 9,
168,FOREHILL,ABERDEENSHIRE,COUNTY,[1915-01-01],[Current],57.5067,-1.84189,AB42 7,DR DT DW HW
166,FRASERBURGH,ABERDEENSHIRE,COUNTY,[1862-01-01],[1991-12-31],57.6976,-2.00168,AB43 5,DR DT DW HR HW MW
14866,FRASERBURGH MET OFFICE,ABERDEENSHIRE,COUNTY,[1943-01-01],[1945-12-31],57.6661,-1.93295,AB43 5,
159,FYVIE CASTLE,ABERDEENSHIRE,COUNTY,[1908-01-01],[Current],57.443,-2.38813,AB53 8,DR DT DW HR HW
14942,GAIRNSHIEL LODGE,ABERDEENSHIRE,COUNTY,[1902-01-01],[Current],57.092,-3.164,AB35 5,
156,GARTLY,ABERDEENSHIRE,COUNTY,[1967-01-01],[1987-12-31],57.3788,-2.79338,AB54 4,DR DT DW HW MW
14994,GIRDLENESS LIGHTHOUSE,ABERDEENSHIRE,COUNTY,[1862-01-01],[1982-12-31],57.1397,-2.04627,AB1 3,
14901,GLENBUCHAT LODGE,ABERDEENSHIRE,COUNTY,[1964-01-01],[2006-05-01],57.2552,-3.1057,AB36 8,
30809,GLENKINDIE,ABERDEENSHIRE,COUNTY,[2002-12-01],[2014-11-05],57.2195,-2.96087,None,
61978,GLENKINDIE NO 2,ABERDEENSHIRE,COUNTY,[2014-11-05],[Current],57.2176,-2.95282,AB33,
14916,GLENS OF FOUDLAND: NORTH BROOMHILL,ABERDEENSHIRE,COUNTY,[1973-01-01],[1998-06-30],57.4091,-2.69915,AB54 6,
14955,GLEN TANAR HOUSE,ABERDEENSHIRE,COUNTY,[1933-01-01],[2015-05-31],57.0497,-2.86527,AB34 5,
14885,HADDO HOUSE,ABERDEENSHIRE,COUNTY,[1890-01-01],[Current],57.4027,-2.21854,AB41 0,
14882,HATTON NO 2,ABERDEENSHIRE,COUNTY,[1976-01-01],[1997-12-31],57.4254,-1.9184,AB42 7,
23493,HATTON S WKS,ABERDEENSHIRE,COUNTY,[1998-06-01],[Current],57.4278,-1.90813,AB42 0,
164,HILTON (ABERDEENSHIRE),ABERDEENSHIRE,COUNTY,[1962-01-01],[1965-12-31],57.1648,-2.12733,AB2 2,DR DT DW ST
14912,HOUSE OF MONYMUSK,ABERDEENSHIRE,COUNTY,[1959-01-01],[1980-12-31],57.2285,-2.51517,AB51 7,
157,HUNTLY,ABERDEENSHIRE,COUNTY,[1952-01-01],[1966-12-31],57.4499,-2.78492,AB54 5,DR DT DW
14848,HUNTLY (ABERDEEN) S WKS,ABERDEENSHIRE,COUNTY,[1974-01-01],[2009-01-01],57.451,-2.77471,AB54 5,
23946,HUNTLY: CRAIGHEAD,ABERDEENSHIRE,COUNTY,[1998-08-01],[2008-09-01],57.452,-2.83806,AB54 4,
14946,INCHNABOBART,ABERDEENSHIRE,COUNTY,[1932-01-01],[1970-12-31],56.9737,-3.13518,AB35 5,
14918,INSCH,ABERDEENSHIRE,COUNTY,[1959-01-01],[1974-12-31],57.3413,-2.60979,AB52 6,
14917,INSCH NO 2,ABERDEENSHIRE,COUNTY,[1975-01-01],[Current],57.3426,-2.61443,AB52 6,
14935,INVEREY,ABERDEENSHIRE,COUNTY,[1992-01-01],[Current],56.986,-3.49939,AB35 5,
14922,INVERURIE,ABERDEENSHIRE,COUNTY,[1957-01-01],[1965-12-31],57.2811,-2.37987,AB51 9,
56685,INVERURIE: MILTON OF THAINSTON,ABERDEENSHIRE,COUNTY,[2010-01-01],[Current],57.2577,-2.36253,AB51 5,
158,INVERURIE NO 2,ABERDEENSHIRE,COUNTY,[1965-01-01],[1992-12-31],57.2739,-2.36653,AB51 9,DR DT DW HW
23779,INVERURIE: TOWNHEAD,ABERDEENSHIRE,COUNTY,[1979-10-01],[1982-10-01],57.2891,-2.39489,AB51 9,
14919,KNOCKSPOCK,ABERDEENSHIRE,COUNTY,[1973-01-01],[1994-12-01],57.3082,-2.74869,AB54 4,
30833,LECHT SKI CENTRE,ABERDEENSHIRE,COUNTY,[2003-04-01],[Current],57.2022,-3.24779,AB36 8,
155,LEITH HALL,ABERDEENSHIRE,COUNTY,[1987-01-01],[2000-12-06],57.3566,-2.76464,AB54 4,DR DT DW HW
30138,LEITH HALL NO 2,ABERDEENSHIRE,COUNTY,[2000-12-01],[2007-01-01],57.3584,-2.76634,AB54,DR DT DW HW ST
14903,LITTLEWOOD PARK,ABERDEENSHIRE,COUNTY,[1944-01-01],[Current],57.2546,-2.80354,AB33 8,
152,LOGIE COLDSTONE,ABERDEENSHIRE,COUNTY,[1891-01-01],[1962-12-31],57.1272,-2.93502,AB34 5,DR DT DW
14960,LUMPHANAN,ABERDEENSHIRE,COUNTY,[1916-01-01],[1953-12-31],57.1225,-2.69704,AB31 4,
14961,LUMPHANAN NO 2,ABERDEENSHIRE,COUNTY,[1951-01-01],[2004-05-01],57.1216,-2.70198,AB31 4,
16618,LUMSDEN: BOGHEAD FARM,ABERDEENSHIRE,COUNTY,[1995-08-01],[1997-06-27],57.2895,-2.85949,AB54 4,
14879,MAINS OF BUTHLAW,ABERDEENSHIRE,COUNTY,[1910-01-01],[1959-12-31],57.5259,-1.89312,AB42 7,
56068,MAUD: LITTLE ELRICK COTTAGE,ABERDEENSHIRE,COUNTY,[2006-07-01],[2013-12-01],57.4952,-2.11817,AB42,
14934,MEALL AN LUNDAIN,ABERDEENSHIRE,COUNTY,[1968-01-01],[1979-12-31],57.0428,-3.55928,AB35 5,
30141,MELDRUM HOUSE,ABERDEENSHIRE,COUNTY,[2000-08-23],[2004-03-01],57.3522,-2.31413,None,
16686,MIDMAR: BETHLIN,ABERDEENSHIRE,COUNTY,[1995-01-01],[2017-09-30],57.1557,-2.5145,AB51 7,
14956,MILLFIELD,ABERDEENSHIRE,COUNTY,[1985-01-01],[1991-12-31],57.0586,-2.85744,AB34 5,
56375,MILL OF NEWTON,ABERDEENSHIRE,COUNTY,[2008-12-01],[Current],57.3582,-2.5755,AB51 5,
18958,MILTON O NOTH,ABERDEENSHIRE,COUNTY,[1996-01-01],[2010-09-01],57.3452,-2.82014,AB54 4,
18954,MINTLAW: BROOMBANK,ABERDEENSHIRE,COUNTY,[1996-08-01],[2007-09-01],57.5397,-1.9798,AB42 4,DR DT DW HW ST
14913,MONYROADS,ABERDEENSHIRE,COUNTY,[1981-01-01],[1984-12-31],57.2059,-2.54299,AB51 7,
14952,MORVEN,ABERDEENSHIRE,COUNTY,[1973-01-01],[Current],57.1368,-3.00328,AB34 5,
14862,MUIRESK HOUSE,ABERDEENSHIRE,COUNTY,[1954-01-01],[2006-12-01],57.5367,-2.49336,AB53 7,
14987,MURTLE HOUSE,ABERDEENSHIRE,COUNTY,[1977-01-01],[1979-12-31],57.1036,-2.21297,AB1 0,
14876,NEW DEER SCHOOL,ABERDEENSHIRE,COUNTY,[1899-01-01],[1977-12-31],57.5133,-2.19031,AB53 6,
14845,NEWSEAT,ABERDEENSHIRE,COUNTY,[1972-01-01],[1997-01-31],57.3408,-2.84905,AB54 4,
14857,NEWTONGARRY INN,ABERDEENSHIRE,COUNTY,[1974-01-01],[1977-12-31],57.409,-2.70414,AB54 6,
14877,OLD DEER,ABERDEENSHIRE,COUNTY,[1959-01-01],[1967-12-31],57.5224,-2.03674,AB42 8,
14921,OLD MELDRUM,ABERDEENSHIRE,COUNTY,[1964-01-01],[1996-01-31],57.3378,-2.31733,AB51 0,
56229,OYNE,ABERDEENSHIRE,COUNTY,[2007-11-01],[2015-03-18],57.3196,-2.54952,AB52 6,DR DT DW HW ST
62004,OYNE NO 2,ABERDEENSHIRE,COUNTY,[2015-03-18],[Current],57.3207,-2.54366,AB52,DR DT DW HW ST
14926,PERSLEY S WKS,ABERDEENSHIRE,COUNTY,[1973-01-01],[2003-06-30],57.1782,-2.15219,AB22 8,
170,PETERHEAD HARBOUR,ABERDEENSHIRE,COUNTY,[1979-01-01],[Current],57.5027,-1.77257,AB42 6,HW MW
14878,PETERHEAD MET OFFICE,ABERDEENSHIRE,COUNTY,[1942-01-01],[1945-12-31],57.5134,-1.88314,AB42 7,
14911,PITFICHIE,ABERDEENSHIRE,COUNTY,[1984-01-01],[1997-02-28],57.2392,-2.52691,AB51 7,
16623,POLHOLLICK,ABERDEENSHIRE,COUNTY,[1995-01-01],[Current],57.0555,-3.08227,AB35 5,
14892,POTTERTON NO 2,ABERDEENSHIRE,COUNTY,[1986-01-01],[1997-05-31],57.2268,-2.09441,AB23 8,
55894,RATHEN: QUARRYHEAD FARM,ABERDEENSHIRE,COUNTY,[2005-09-01],[Current],57.6347,-2.02445,AB43,
169,RATTRAY HEAD,ABERDEENSHIRE,COUNTY,[1946-01-01],[1967-12-31],57.6139,-1.84432,AB42 7,DR DT DW
56700,RHYNIE,ABERDEENSHIRE,COUNTY,[2010-01-01],[Current],57.3321,-2.82691,AB54 4,
14902,RINMORE,ABERDEENSHIRE,COUNTY,[1964-01-01],[1967-12-31],57.2411,-2.97104,AB33 8,
16581,ROSEHEARTY,ABERDEENSHIRE,COUNTY,[1991-10-01],[2012-02-28],57.698,-2.12106,AB43 4,DR DT DW HR HW MW RA ST
30814,ROTHIENORMAN,ABERDEENSHIRE,COUNTY,[2003-03-01],[Current],57.4092,-2.46526,None,
14944,SPITTAL OF GLENMUICK,ABERDEENSHIRE,COUNTY,[1983-01-01],[2009-12-01],56.9517,-3.13698,AB35 5,
56640,SPITTAL OF GLENMUICK NO 2,ABERDEENSHIRE,COUNTY,[2009-10-01],[Current],56.9511,-3.14074,AB35 5,
16680,STARNAFIN,ABERDEENSHIRE,COUNTY,[1995-01-01],[2008-03-01],57.6123,-1.90531,AB43 4,
16621,ST FERGUS GAS TERMINAL,ABERDEENSHIRE,COUNTY,[1995-08-01],[1999-06-30],57.5726,-1.8445,AB42 7,
25011,ST FERGUS NO 2,ABERDEENSHIRE,COUNTY,[1999-06-01],[2004-04-01],57.5717,-1.8445,AB42,
56701,STONYFORD,ABERDEENSHIRE,COUNTY,[2010-01-01],[Current],56.8421,-2.80947,DD9 7,
56493,STRATHDON,ABERDEENSHIRE,COUNTY,[1910-01-01],[1914-01-01],57.197,-3.07913,AB36 8,
14899,STRATHDON: CASTLE NEWE,ABERDEENSHIRE,COUNTY,[1849-01-01],[1871-12-31],57.201,-3.04117,AB36 8,
14898,STRATHDON: ESTATES OFFICE,ABERDEENSHIRE,COUNTY,[1903-01-01],[1945-12-31],57.2026,-3.06108,AB36 8,
14897,STRATHDON: TORNASHEAN,ABERDEENSHIRE,COUNTY,[1934-01-01],[1958-12-31],57.1953,-3.07742,AB36 8,
14868,STRICHEN,ABERDEENSHIRE,COUNTY,[1773-01-01],[1781-12-31],57.5879,-2.092,AB43 4,
14869,STRICHEN NO 2,ABERDEENSHIRE,COUNTY,[1959-01-01],[1982-12-31],57.5862,-2.09033,AB43 4,
14870,STRICHEN NO 3,ABERDEENSHIRE,COUNTY,[1982-01-01],[1997-02-28],57.588,-2.08698,AB43 4,
14957,TARLAND,ABERDEENSHIRE,COUNTY,[1952-01-01],[2004-05-01],57.1243,-2.84574,AB34 4,
61865,TILLYPRONIE,ABERDEENSHIRE,COUNTY,[1906-01-01],[1914-01-01],57.155,-2.934,AB34,
14963,TORPHINS: SCHOOL HOUSE,ABERDEENSHIRE,COUNTY,[1914-01-01],[1946-12-31],57.1085,-2.61917,AB31 4,
14906,TULLYNESSLE,ABERDEENSHIRE,COUNTY,[1964-01-01],[1968-12-31],57.2616,-2.72951,AB33 8,
14907,TULLYNESSLE NO 2,ABERDEENSHIRE,COUNTY,[1968-01-01],[Current],57.2538,-2.72695,AB33 8,
165,UDNY,ABERDEENSHIRE,COUNTY,[1956-01-01],[1967-12-31],57.2995,-2.15601,AB41 0,DR DT DW ST
55824,WELLHOWE,ABERDEENSHIRE,COUNTY,[2004-04-01],[2006-09-01],57.5538,-2.14685,AB53 6,
18976,WESTHILL,ABERDEENSHIRE,COUNTY,[1995-01-01],[2018-12-11],57.1476,-2.29046,AB32 6,
162,WINDY HEAD,ABERDEENSHIRE,COUNTY,[1984-01-01],[1990-12-31],57.6488,-2.24296,AB43 4,
1574,ALDERNEY,ALDERNEY,ISLAND,[1957-01-01],[Current],49.7,-2.217,None,
191,ARBROATH,ANGUS,COUNTY,[1857-01-01],[1994-12-31],56.5607,-2.57114,DD11 5,DR DT DW HW ST
30203,ARBROATH: GOLF CLUB,ANGUS,COUNTY,[2001-01-12],[2005-01-01],56.5406,-2.62451,DD11,DR DT DW HW ST
15041,ARBROATH: KEPTIE ROAD,ANGUS,COUNTY,[1843-01-01],[1887-12-31],56.5624,-2.58582,DD11 1,
15042,ARBROATH: WESTERN CEMETERY,ANGUS,COUNTY,[1922-01-01],[1949-12-31],56.5668,-2.60867,DD11 3,
15214,AUCHAVAN,ANGUS,COUNTY,[1957-01-01],[1981-12-31],56.8119,-3.32523,PH11 8,
182,AUCHTERHOUSE,ANGUS,COUNTY,[1959-01-01],[1964-12-31],56.5386,-3.06195,DD3 0,DR DT DW ST
15226,BACKWATER,ANGUS,COUNTY,[1928-01-01],[1969-12-31],56.716,-3.21728,PH11 8,
15225,BACKWATER CONTROL HOUSE,ANGUS,COUNTY,[1974-01-01],[Current],56.7141,-3.22155,PH11 8,
15227,BACKWATER NO 2,ANGUS,COUNTY,[1970-01-01],[2005-06-01],56.7114,-3.22693,PH11 8,
24097,BALCONNEL,ANGUS,COUNTY,[1998-11-01],[Current],56.7651,-2.78391,DD9,
15010,BALHALL LODGE,ANGUS,COUNTY,[1982-01-01],[1985-12-31],56.767,-2.79679,DD9 7,
55696,BALMAKEWAN,ANGUS,COUNTY,[1930-01-01],[1936-12-31],56.8001,-2.54845,AB30 1,
15233,BALNAKEILLY,ANGUS,COUNTY,[1878-01-01],[2005-06-01],56.6849,-3.17383,DD8 4,
15059,BALRUDDERY,ANGUS,COUNTY,[1901-01-01],[1949-12-31],56.477,-3.11706,DD2 5,
15060,BALRUDDERY NO 2,ANGUS,COUNTY,[1963-01-01],[1974-12-31],56.4832,-3.13186,DD2 5,
56703,BALUNIEFIELD,ANGUS,COUNTY,[2010-01-01],[Current],56.4829,-2.90396,DD4,
15220,BARNEY,ANGUS,COUNTY,[1928-01-01],[2005-06-01],56.7582,-3.22028,PH11 8,
62184,BATTLEDYKES: WARDMILL FARM,ANGUS,COUNTY,[2019-05-01],[Current],56.6737,-2.89405,DD8 3,
190,BELL ROCK,ANGUS,COUNTY,[1949-01-01],[1987-12-31],56.4365,-2.38439,DD11,HW MW
15034,BRECHIN S WKS,ANGUS,COUNTY,[1977-01-01],[2005-01-31],56.723,-2.62263,DD9 7,DR DT DW HW ST
15004,BRIDGE OF LEE,ANGUS,COUNTY,[1952-01-01],[2003-11-30],56.9102,-2.99365,DD9 7,
188,BUDDON NESS,ANGUS,COUNTY,[1888-01-01],[1975-12-31],56.4681,-2.74831,DD7 7,DR DT DW HW
